fund_code,fund_name,date_start,date_end,ann_return,ann_vol,sharpe,max_drawdown,drawdown_recovery_days,drawdown_repaired,var_95,cvar_95,downside_dev,cum_return,alpha_ann,beta,r_squared,alpha_t,alpha_p,reg_days
000006,,2023-09-15,2026-09-14,0.13542546570423108,0.20361969389848517,0.6525096928994223,-0.29191446758999373,177.0,True,-0.0189,-0.030776315789473672,0.1494142715379029,0.46339858049370153,0.08200249265604519,0.8576233582971446,0.5858006191645383,0.8542954088585264,0.3932242995162479,725
000011,,2023-09-15,2026-09-14,0.15642002634427854,0.23268898850810252,0.6788453375076725,-0.2586853381269917,246.0,True,-0.021939999999999998,-0.031091891891891887,0.151415470037617,0.5460274872457551,0.08927306142608801,1.1564769042535616,0.8156774155597346,1.5372977603789195,0.12465790755708382,725
000029,,2023-09-15,2026-09-14,0.08761067575732318,0.2321480785615109,0.40583829533058885,-0.28946311689581194,305.0,True,-0.023409999999999997,-0.03353513513513512,0.16231029277799386,0.28630954249584706,0.03793303936525762,0.948105527202702,0.550780857596151,0.3873178402344642,0.6986349059351796,725
000030,,2023-09-15,2026-09-14,0.06328148573285586,0.16357118301693135,0.3492373832960768,-0.17829025241774177,238.0,True,-0.0144,-0.02239210526315788,0.11173211774060551,0.20196005891146163,0.008808505843756326,0.8116363228709791,0.8130247509826043,0.21489350384538555,0.8299109487934357,725
000031,,2023-09-15,2026-09-14,0.05077023901416178,0.2404788031380651,0.25008795800301264,-0.34787449497252587,339.0,True,-0.020839999999999997,-0.031810810810810795,0.1585888988692673,0.16005646163580312,-0.0015670536413644955,1.0342573497696723,0.6107967266935468,-0.017084120896189638,0.9863742200265321,725
000057,,2023-09-15,2026-09-14,-0.13115332796972445,0.19320023175673018,-0.7628692709362918,-0.3484953358104431,,False,-0.01767,-0.02695945945945945,0.1395384385964749,-0.3439230207013301,-0.1963527726251723,0.8148043162948776,0.5873337176243043,-2.8045183164763596,0.005174429198871462,725
000061,,2023-09-15,2026-09-14,0.21451609130473814,0.3004036471042182,0.7560245003122618,-0.2754804028426092,,False,-0.02627,-0.042381081081081066,0.2029124831508201,0.7907563793687373,0.14600707908624364,1.3659022265119185,0.6826916476717586,1.5341986468013327,0.12541824657711806,725
000063,,2023-09-15,2026-09-14,0.05338970107639751,0.3024965955804135,0.2633289835627814,-0.26760082640352234,99.0,True,-0.02931,-0.042845945945945936,0.2056399287653384,0.1687478360915522,0.012614844230557478,1.1282909029589947,0.4594052716637316,0.09039302764299258,0.9279999329161255,725
000066,,2023-09-15,2026-09-14,0.13736307877571607,0.2730495656102285,0.553239840811417,-0.29763874892229414,319.0,True,-0.02687,-0.038848648648648634,0.18850389726669245,0.4708981287611014,0.08006032553651606,1.1948178748571447,0.6322887375651763,0.8334735244876359,0.40485298315014034,725
000072,,2023-09-15,2026-09-14,0.027150177899976757,0.03101988704883035,0.2682043897550991,-0.019612938098449106,30.0,True,-0.0031099999999999986,-0.004502702702702687,0.021145821092029497,0.08362233557240617,-0.0009507765874850325,0.15554715783226122,0.8303062097557836,-0.11061266458623346,0.911954201190632,725
