fund_code,status,reason,rows_original,rows_removed_dup,rows_removed_nan_zero,rows_after_clean,suspicious_jump_cnt,clean_date_span_days
019024,reject_short_history,窗口覆盖不足：首个净值日2023-11-16 晚于窗口起点2023-09-15+30天,689,0,0,689,0,0
019759,reject_short_history,窗口覆盖不足：首个净值日2023-11-21 晚于窗口起点2023-09-15+30天,686,0,0,686,0,0
019764,reject_short_history,窗口覆盖不足：首个净值日2023-11-21 晚于窗口起点2023-09-15+30天,686,0,0,686,0,0
019765,reject_short_history,窗口覆盖不足：首个净值日2023-10-24 晚于窗口起点2023-09-15+30天,689,0,0,689,0,0
019766,reject_short_history,窗口覆盖不足：首个净值日2023-10-24 晚于窗口起点2023-09-15+30天,689,0,0,689,0,0
019824,reject_short_history,窗口覆盖不足：首个净值日2023-11-06 晚于窗口起点2023-09-15+30天,681,0,0,681,0,0
019825,reject_short_history,窗口覆盖不足：首个净值日2023-11-06 晚于窗口起点2023-09-15+30天,681,0,0,681,0,0
020315,reject_short_history,窗口覆盖不足：首个净值日2023-12-15 晚于窗口起点2023-09-15+30天,668,0,0,668,0,0
020476,reject_short_history,窗口覆盖不足：首个净值日2024-05-07 晚于窗口起点2023-09-15+30天,559,0,0,559,0,0
020477,reject_short_history,窗口覆盖不足：首个净值日2024-05-07 晚于窗口起点2023-09-15+30天,559,0,0,559,0,0
020553,reject_short_history,窗口覆盖不足：首个净值日2024-04-30 晚于窗口起点2023-09-15+30天,571,0,0,571,0,0
020554,reject_short_history,窗口覆盖不足：首个净值日2024-04-30 晚于窗口起点2023-09-15+30天,571,0,0,571,0,0
020722,reject_short_history,窗口覆盖不足：首个净值日2024-03-14 晚于窗口起点2023-09-15+30天,597,0,0,597,0,0
020723,reject_short_history,窗口覆盖不足：首个净值日2024-03-14 晚于窗口起点2023-09-15+30天,597,0,0,597,0,0
020774,reject_short_history,窗口覆盖不足：首个净值日2024-04-17 晚于窗口起点2023-09-15+30天,575,0,0,575,0,0
