fund_code,file_name,rows_total,date_start,date_end,date_span_days,nav_zero_cnt,nav_nan_cnt,nav_acc_zero_cnt,nav_acc_nan_cnt,dup_date_cnt,jump_suspicious_cnt
000309,fund_000309.csv,3095,2013-10-29,2026-09-14,4703,0,0,0,0,0,0
000411,fund_000411.csv,3093,2014-01-02,2026-09-14,4638,0,0,0,0,0,1
000513,fund_000513.csv,2963,2014-06-20,2026-09-14,4469,0,0,0,0,0,0
000524,fund_000524.csv,3022,2014-03-14,2026-09-14,4567,0,0,0,0,0,1
000577,fund_000577.csv,3010,2014-04-21,2026-09-14,4529,0,0,0,0,0,0
000586,fund_000586.csv,3015,2014-04-30,2026-09-14,4520,0,0,0,0,0,0
000688,fund_000688.csv,2904,2014-08-12,2026-09-14,4416,0,0,0,0,0,0
000697,fund_000697.csv,2911,2014-08-26,2026-09-14,4402,0,0,0,0,0,0
000751,fund_000751.csv,2888,2014-09-17,2026-09-14,4380,0,0,0,0,0,0
000793,fund_000793.csv,2888,2014-10-22,2026-09-14,4345,0,0,0,0,0,0
000828,fund_000828.csv,2884,2014-11-18,2026-09-14,4318,0,0,0,0,0,0
000960,fund_000960.csv,2815,2015-01-30,2026-09-14,4245,0,0,0,0,0,0
000979,fund_000979.csv,2746,2015-04-15,2026-09-14,4170,0,0,0,0,0,0
001008,fund_001008.csv,2825,2015-01-27,2026-09-14,4248,0,0,0,0,0,0
001009,fund_001009.csv,2789,2015-02-26,2026-09-14,4218,0,0,0,0,0,0
001036,fund_001036.csv,2797,2015-02-12,2026-09-14,4232,0,0,0,0,0,0
001039,fund_001039.csv,2742,2015-04-24,2026-09-14,4161,0,0,0,0,0,0
001040,fund_001040.csv,2779,2015-03-31,2026-09-14,4185,0,0,0,0,0,1
001042,fund_001042.csv,2745,2015-05-15,2026-09-14,4140,0,0,0,0,0,0
001048,fund_001048.csv,2776,2015-03-12,2026-09-14,4204,0,0,0,0,0,0
001070,fund_001070.csv,2759,2015-03-24,2026-09-14,4192,0,0,0,0,0,0
001072,fund_001072.csv,2749,2015-04-24,2026-09-14,4161,0,0,0,0,0,0
001105,fund_001105.csv,2773,2015-04-15,2026-09-14,4170,0,0,0,0,0,0
001162,fund_001162.csv,2772,2015-04-28,2026-09-14,4157,0,0,0,0,0,0
001188,fund_001188.csv,2746,2015-04-28,2026-09-14,4157,0,0,0,0,0,0
001313,fund_001313.csv,2734,2015-06-09,2026-09-14,4115,0,0,0,0,0,0
001396,fund_001396.csv,2722,2015-06-23,2026-09-14,4101,0,0,0,0,0,0
001404,fund_001404.csv,2726,2015-06-19,2026-09-14,4105,0,0,0,0,0,0
001409,fund_001409.csv,2736,2015-06-05,2026-09-14,4119,0,0,0,0,0,0
