date,nav,nav_acc,daily_ret,suspicious_jump
2017-05-19,1.0001,1.0001,0.0,False
2017-06-30,1.0261,1.0261,0.0,False
2017-07-03,1.0223,1.0223,-0.003703,False
2017-07-04,1.0118,1.0118,-0.010270999999999999,False
2017-07-05,1.03,1.03,0.017988,False
2017-07-06,1.035,1.035,0.004854,False
2017-07-07,1.0333,1.0333,-0.001643,False
2017-07-10,1.0285,1.0285,-0.004645,False
2017-07-11,1.0385,1.0385,0.009723,False
2017-07-12,1.0432,1.0432,0.004526,False
2017-07-13,1.0474,1.0474,0.004026,False
2017-07-14,1.0461,1.0461,-0.001241,False
2017-07-17,1.0375,1.0375,-0.008221000000000001,False
2017-07-18,1.061,1.061,0.022650999999999998,False
2017-07-19,1.0953,1.0953,0.032328,False
2017-07-20,1.0972,1.0972,0.0017349999999999998,False
2017-07-21,1.08,1.08,-0.015676000000000002,False
2017-07-24,1.0826,1.0826,0.002407,False
2017-07-25,1.0784,1.0784,-0.00388,False
2017-07-26,1.0642,1.0642,-0.013168,False
2017-07-27,1.0689,1.0689,0.004416,False
2017-07-28,1.0738,1.0738,0.0045839999999999995,False
2017-07-31,1.0776,1.0776,0.003539,False
2017-08-01,1.0676,1.0676,-0.00928,False
2017-08-02,1.0712,1.0712,0.003372,False
2017-08-03,1.0447,1.0447,-0.024739,False
2017-08-04,1.0402,1.0402,-0.004307,False
2017-08-07,1.0605,1.0605,0.019515,False
2017-08-08,1.0624,1.0624,0.001792,False
2017-08-09,1.0673,1.0673,0.004612,False
2017-08-10,1.0698,1.0698,0.002342,False
2017-08-11,1.0435,1.0435,-0.024584,False
2017-08-14,1.0819,1.0819,0.036799,False
2017-08-15,1.0951,1.0951,0.012201,False
2017-08-16,1.1019,1.1019,0.006209,False
2017-08-17,1.0971,1.0971,-0.004356,False
2017-08-18,1.0894,1.0894,-0.007019,False
2017-08-21,1.0981,1.0981,0.007986,False
2017-08-22,1.0983,1.0983,0.000182,False
2017-08-23,1.0966,1.0966,-0.001548,False
2017-08-24,1.0985,1.0985,0.0017330000000000002,False
2017-08-25,1.1079,1.1079,0.008557,False
2017-08-28,1.1227,1.1227,0.013359000000000001,False
2017-08-29,1.1263,1.1263,0.0032069999999999998,False
2017-08-30,1.1308,1.1308,0.003995,False
