year,month,report_type,type_name,fund_code,fund_short_name,title,report_send_date,organ_name,upload_info_id
2019,2019-09,FC030010,基金合同终止公告,006391,信达澳银安和纯债,信达澳银安和纯债基金合同终止公告,2019-09-17,信达澳亚,2666
2019,2019-09,FC030010,基金合同终止公告,005484,中欧睿选定期开放灵活配置混合,中欧睿选定期开放灵活配置混合基金基金合同终止及基金财产清算的公告,2019-09-07,中欧,1274
2019,2019-09,FC030010,基金合同终止公告,005183,博时富时中国A股指数,博时富时中国A股指数基金合同终止公告,2019-09-05,博时,655
2019,2019-09,FC030010,基金合同终止公告,001729,银华逆向投资灵活配置定期开放混合发起式,银华逆向投资灵活配置定期开放混合发起式基金合同终止及基金财产清算的公告,2019-09-04,银华,423
2019,2019-10,FC030010,基金合同终止公告,003954,华泰柏瑞价值精选30混合,华泰柏瑞价值精选30混合基金合同终止公告,2019-10-17,华泰柏瑞,7129
2019,2019-10,FC030010,基金合同终止公告,004443,南方荣知定开混合,南方荣知定开混合基金合同终止公告,2019-10-16,南方,6973
2019,2019-11,FC030010,基金合同终止公告,006155,新华家盈双利混合,新华家盈双利混合基金合同终止公告,2019-11-26,新华,23360
2019,2019-11,FC030010,基金合同终止公告,166021,中欧纯债添利分级债券,中欧纯债添利分级债券基金可能触发基金合同终止情形的提示性公告,2019-11-22,中欧,22688
2019,2019-11,FC030010,基金合同终止公告,000202,富国目标收益两年期纯债债券,富国目标收益两年期纯债债券基金合同终止公告,2019-11-22,富国,22747
2019,2019-11,FC030010,基金合同终止公告,003339,华安睿享定开混合,华安睿享定开混合基金合同终止公告,2019-11-19,华安,21934
2019,2019-11,FC030010,基金合同终止公告,000237,国投瑞银岁添利一年债券,国投瑞银岁添利一年债券基金合同终止公告,2019-11-16,国投瑞银,21495
2019,2019-11,FC030010,基金合同终止公告,000237,国投瑞银岁添利一年债券,国投瑞银岁添利一年债券基金合同终止公告,2019-11-13,国投瑞银,20545
2019,2019-11,FC030010,基金合同终止公告,000428,易方达聚盈分级债券发起式,易方达聚盈分级债券发起式基金合同终止及基金财产清算的公告,2019-11-12,易方达,20322
2019,2019-11,FC030010,基金合同终止公告,003622,创金合信优价成长股票,创金合信优价成长股票基金合同终止公告,2019-11-02,创金合信,17770
2019,2019-11,FC030010,基金合同终止公告,006709,工银聚盈混合,工银聚盈混合基金合同终止公告,2019-11-01,工银瑞信,17429
2019,2019-12,FC030010,基金合同终止公告,004065,中融量化多因子混合,中融量化多因子混合基金合同终止公告,2019-12-30,国联,35231
2019,2019-12,FC030010,基金合同终止公告,003085,中融银行间0-1年中高等级信用债指数,中融银行间0-1年中高等级信用债指数基金合同终止公告,2019-12-28,国联,35227
2019,2019-12,FC030010,基金合同终止公告,003079,中融银行间3-5年中高等级信用债指数,中融银行间3-5年中高等级信用债指数基金合同终止公告,2019-12-24,国联,32029
2019,2019-12,FC030010,基金合同终止公告,003477,南方睿见定期开放混合发起,南方睿见定期开放混合发起基金合同终止公告,2019-12-23,南方,31637
2019,2019-12,FC030010,基金合同终止公告,003477,南方睿见定期开放混合发起,南方睿见定期开放混合发起基金合同终止公告,2019-12-19,南方,30165
2019,2019-12,FC030010,基金合同终止公告,003261,安信沪深300增强,安信沪深300增强基金合同终止公告,2019-12-17,安信,29077
2019,2019-12,FC030010,基金合同终止公告,519931,长信上证港股通指数型发起式,长信上证港股通指数型发起式基金合同终止及基金财产清算的公告,2019-12-16,长信,28192
2019,2019-12,FC030010,基金合同终止公告,004443,南方荣知定开混合,南方荣知定开混合基金合同终止公告,2019-12-16,南方,28460
2019,2019-12,FC030010,基金合同终止公告,005499,国投瑞银兴颐多策略混合,国投瑞银兴颐多策略混合基金合同终止公告,2019-12-13,国投瑞银,27578
2019,2019-12,FC030010,基金合同终止公告,166021,中欧纯债添利分级债券,中欧纯债添利分级债券基金合同终止及基金财产清算的公告,2019-12-07,中欧,26389
2019,2019-12,FC030010,基金合同终止公告,166021,中欧纯债添利分级债券,中欧纯债添利分级债券基金可能触发基金合同终止情形的第二次提示性公告,2019-12-03,中欧,25448
2020,2020-01,FC030010,基金合同终止公告,003046,招商信用定开债(QDII),招商信用定开债(QDII)基金合同终止公告,2020-01-24,招商,58375
2020,2020-01,FC030010,基金合同终止公告,005511,中信建投稳福,关于《中信建投稳福定期开放债券型证券投资基金基金合同》终止及基金财产清算结果的公告,2020-01-15,中信建投,45843
2020,2020-02,FC030010,基金合同终止公告,003477,南方睿见定期开放混合发起,南方睿见定期开放混合发起基金合同终止公告,2020-02-27,南方,82648
2020,2020-02,FC030010,基金合同终止公告,007006,融通超短债债券,融通超短债债券基金合同终止公告,2020-02-22,融通,73238
2020,2020-02,FC030010,基金合同终止公告,005807,安信复兴100指数,安信复兴100指数基金合同终止公告,2020-02-06,安信,59443
