fund_code,fund_short_name,first_ann,last_ann,n_ann,types,organ_name,est_delist_date,is_onsite
000022,南方中债中期票据指数债权发起式,2018-05-23,2018-05-23,1,清算报告,南方,2018-05-23,False
000049,中银标普全球资源等权重指数（QDII）,2023-01-17,2023-03-20,2,基金清算公告/清算报告,中银,2023-01-17,False
000087,嘉实中证金边中期国债ETF联接,2022-08-05,2022-08-05,1,清算报告,嘉实,2022-08-05,False
000091,信诚新双盈分级债券,2020-07-23,2020-07-23,2,基金合同终止公告/清算报告,中信保诚,2020-07-23,False
000113,嘉实如意宝定期债券,2021-09-29,2021-10-28,2,基金合同终止公告/清算报告,嘉实,2021-09-29,False
000132,中银理财21天债券,2016-08-24,2016-08-24,1,清算报告,中银,2016-08-24,False
000202,富国目标收益两年期纯债债券,2019-11-22,2019-12-13,2,基金合同终止公告/清算报告,富国,2019-11-22,False
000225,长盛年年收益定期债券,2021-02-06,2021-03-23,2,基金清算公告/清算报告,长盛,2021-02-06,False
000237,国投瑞银岁添利一年债券,2019-11-13,2019-12-18,3,基金合同终止公告/清算报告,国投瑞银,2019-11-13,False
000246,博时月月薪债券,2022-09-28,2022-11-01,3,基金合同终止公告/清算报告,博时,2022-09-28,False
000247,方正富邦互利定期开放债券,2018-02-10,2018-02-10,1,清算报告,方正富邦,2018-02-10,False
000256,上投摩根红利回报混合,2021-10-12,2021-10-12,1,清算报告,摩根,2021-10-12,False
000269,嘉实合润双债两年期定期开放债券,2019-12-10,2019-12-11,2,基金清算公告/清算报告,嘉实,2019-12-10,False
000278,融通通泽灵活配置混合,2018-01-05,2018-01-05,1,清算报告,融通,2018-01-05,False
000315,融通通祥一年目标触发式混合基金,2014-10-31,2014-10-31,1,清算报告,融通,2014-10-31,False
000316,中海瑞利六个月定开债,2021-03-16,2021-06-21,2,基金合同终止公告/清算报告,中海,2021-03-16,False
000360,信诚年年有余定期开放债券,2020-11-13,2020-11-13,2,基金合同终止公告/清算报告,中信保诚,2020-11-13,False
000400,中融增鑫定期开放债券,2020-03-07,2020-04-23,2,基金合同终止公告/清算报告,国联,2020-03-07,False
000412,国开岁月鎏金定开信用债,2022-12-30,2022-12-30,1,清算报告,京管泰富,2022-12-30,False
000421,华泰柏瑞丰汇债券,2021-05-21,2021-05-21,1,清算报告,华泰柏瑞,2021-05-21,False
000426,大成信用增利一年债券,2019-06-15,2019-06-15,1,清算报告,大成,2019-06-15,False
000428,易方达聚盈分级债券发起式,2019-11-12,2019-12-19,3,基金合同终止公告/基金清算公告/清算报告,易方达,2019-11-12,False
000435,建信稳定添利债券,2021-06-12,2021-06-12,1,清算报告,建信,2021-06-12,False
000437,融通通启一年定开债券,2020-11-27,2021-04-23,4,基金合同终止公告/基金清算公告/清算报告,融通,2020-11-27,False
000439,国金鑫盈货币,2023-12-18,2023-12-18,1,清算报告,国金,2023-12-18,False
000463,华商双债丰利债券,2023-07-12,2023-07-12,2,基金合同终止公告/清算报告,华商,2023-07-12,False
000466,融通通瑞债券,2021-12-25,2021-12-25,1,清算报告,融通,2021-12-25,False
000485,嘉实1个月理财债券,2020-11-30,2020-12-30,2,基金清算公告/清算报告,嘉实,2020-11-30,False
000489,光大保德信岁末红利纯债债券,2024-01-08,2024-01-08,1,清算报告,光大保德信,2024-01-08,False
000502,华富恒富18个月定期开放债券,2023-01-18,2023-01-18,1,清算报告,华富,2023-01-18,False
000510,诺安永鑫一年定期开放债券,2019-09-24,2019-12-17,3,基金清算公告/清算报告,诺安,2019-09-24,False
000590,华安新活力混合,2026-09-15,2026-09-15,1,基金合同终止公告,华安,2026-09-15,False
000616,上投摩根优信增利债券,2020-11-18,2020-11-18,1,清算报告,摩根,2020-11-18,False
000624,华富恒财定期开放债券,2019-12-17,2019-12-17,1,清算报告,华富,2019-12-17,False
000632,中银聚利半年定期开放债券,2021-02-24,2021-05-17,2,基金合同终止公告/清算报告,中银,2021-02-24,False
000664,国联安通盈混合,2026-06-08,2026-06-08,1,清算报告,国联安,2026-06-08,False
000695,大成景益平稳收益混合,2020-05-21,2020-05-21,1,清算报告,大成,2020-05-21,False
000702,广发季季利债券,2015-04-30,2015-04-30,1,清算报告,广发,2015-04-30,False
000708,华安安享混合,2022-09-02,2022-09-24,2,基金合同终止公告/清算报告,华安,2022-09-02,False
000732,中原英石货币,2015-11-21,2015-11-21,1,清算报告,太平,2015-11-21,False
000738,中信建投货币,2020-08-03,2020-08-25,3,基金合同终止公告/基金清算公告/清算报告,中信建投,2020-08-03,False
000781,国投瑞银岁增利一年债券,2020-03-05,2020-03-05,1,清算报告,国投瑞银,2020-03-05,False
000798,民生加银季度理财,2021-01-29,2021-01-29,1,基金合同终止公告,民生加银,2021-01-29,False
000865,大成景利混合,2019-03-02,2019-03-02,1,清算报告,大成,2019-03-02,False
000887,上投摩根稳进回报混合,2021-11-10,2021-11-10,1,清算报告,摩根,2021-11-10,False
000889,上投摩根纯债添利债券,2021-05-18,2021-05-18,1,清算报告,摩根,2021-05-18,False
000901,国开泰富货币,2021-07-07,2021-08-13,2,基金合同终止公告/清算报告,京管泰富,2021-07-07,False
000937,华商稳固添利债券,2020-08-05,2020-08-06,2,基金合同终止公告/清算报告,华商,2020-08-05,False
000951,中银慧享中短利率债债券,2021-12-02,2022-01-22,2,基金合同终止公告/清算报告,中银,2021-12-02,False
000953,国泰睿吉灵活配置混合,2023-12-15,2023-12-15,1,清算报告,国泰,2023-12-15,False
000958,东吴鼎元双债债券,2020-08-05,2020-08-05,1,清算报告,东吴,2020-08-05,False
000972,新华万银多元策略灵活配置混合,2023-08-11,2023-08-11,1,清算报告,新华,2023-08-11,False
001014,中融融安混合,2021-09-28,2021-09-28,1,清算报告,国联,2021-09-28,False
001059,中金绝对收益,2023-02-22,2023-02-22,1,清算报告,中金,2023-02-22,False
001119,国投瑞银新回报混合,2019-10-16,2019-10-16,1,清算报告,国投瑞银,2019-10-16,False
001141,泰达宏利创盈混合,2022-12-09,2022-12-31,2,基金合同终止公告/清算报告,宏利,2022-12-09,False
001159,大成景秀灵活配置混合,2019-06-15,2019-06-15,1,清算报告,大成,2019-06-15,False
001185,安信动态策略混合,2023-04-24,2023-04-24,2,基金合同终止公告/清算报告,安信,2023-04-24,False
001196,东方鼎新灵活配置混合,2025-01-14,2025-01-14,1,清算报告,东方,2025-01-14,False
