fund_code,管理费率,托管费率,销售服务费率
000001,1.2,0.2,
000049,1.1,0.3,0.0
340006,1.2,0.2,
000006,1.2,0.1,0.0
000011,1.2,0.2,0.0
000017,1.2,0.2,0.0
000020,1.2,0.2,0.0
000021,1.2,0.2,
000029,1.2,0.2,0.0
000030,1.2,0.2,0.0
000039,1.2,0.2,
000056,1.2,0.2,
000057,1.2,0.2,0.0
000058,0.9,0.2,0.0
000061,1.2,0.2,
000063,1.2,0.2,0.0
000065,0.9,0.2,0.0
000066,1.2,0.2,0.0
000072,0.7,0.2,0.0
000073,1.2,0.2,0.0
000082,1.2,0.2,0.0
000083,1.2,0.2,
000087,0.3,0.1,0.0
000110,0.6,0.2,
000113,0.7,0.2,0.0
000117,1.2,0.2,
000120,1.2,0.2,0.0
000121,0.9,0.2,0.0
000124,1.2,0.2,
000126,1.2,0.2,0.0
000127,1.2,0.2,
000136,1.2,0.2,0.0
000165,1.2,0.2,
000190,1.2,0.2,0.0
000195,0.6,0.15,0.0
000196,0.6,0.15,0.6
000199,1.2,0.2,0.0
000209,1.2,0.2,0.0
000214,0.6,0.1,
000215,0.6,0.15,0.0
000246,0.7,0.2,0.35
000251,1.2,0.2,0.0
000256,1.2,0.25,0.0
000259,1.2,0.2,
000263,1.2,0.2,0.0
000264,1.2,0.2,0.0
000308,1.2,0.2,
000309,1.2,0.2,0.0
000314,0.6,0.15,0.0
000326,1.2,0.2,0.0
000327,1.2,0.2,0.0
000328,1.2,0.2,0.0
000336,1.2,0.2,
000404,1.2,0.2,
000408,1.2,0.2,0.0
000409,1.2,0.2,
000423,0.9,0.05,0.0
000431,1.2,0.2,
000432,1.2,0.2,0.0
000433,1.0,0.2,0.0
000462,1.2,0.2,0.0
000463,0.7,0.2,0.0
000466,0.7,0.2,0.0
000471,1.2,0.2,
000507,0.6,0.2,0.0
000508,0.6,0.2,0.3
000511,0.7,0.16,0.0
000526,1.0,0.2,0.0
000527,1.2,0.2,0.0
000529,1.2,0.2,0.0
000530,0.6,0.15,0.0
000547,1.2,0.2,0.0
000549,1.2,0.2,0.0
000550,1.2,0.2,0.0
000551,1.2,0.2,0.0
000573,0.8,0.15,0.0
000574,1.2,0.2,0.0
000577,1.0,,
000584,1.2,0.2,0.5
000595,1.2,0.2,
000597,0.8,0.2,0.25
000598,1.2,0.2,0.0
000601,1.2,0.2,
000628,1.2,0.2,0.0
000634,1.2,0.2,
000639,0.6,0.2,0.0
000646,1.2,0.2,0.0
000649,1.2,0.2,0.0
000652,1.2,0.2,0.0
000654,1.2,0.2,
000663,1.2,0.2,0.0
000664,0.6,0.1,0.0
000667,1.2,0.2,0.0
000672,1.2,0.2,0.8
000679,0.8,0.1,0.0
000684,1.2,0.2,0.0
