date,nav,日增长率,nav_acc
2015-03-31,1.0,0.0,1.0
2015-04-03,1.002,0.0,1.002
2015-04-10,1.01,0.0,1.01
2015-04-17,1.019,0.0,1.019
2015-04-24,1.025,0.0,1.025
2015-04-30,1.036,0.0,1.036
2015-05-04,1.042,0.5792,1.042
2015-05-05,1.019,-2.2073,1.019
2015-05-06,1.019,0.0,1.019
2015-05-07,1.011,-0.7851,1.011
2015-05-08,1.03,1.8793,1.03
2015-05-11,1.055,2.4272,1.055
2015-05-12,1.063,0.7583,1.063
2015-05-13,1.065,0.1881,1.065
2015-05-14,1.063,-0.1878,1.063
2015-05-15,1.052,-1.0348,1.052
2015-05-18,1.066,1.3308,1.066
2015-05-19,1.088,2.0638,1.088
2015-05-20,1.098,0.9191,1.098
2015-05-21,1.127,2.6412,1.127
2015-05-22,1.144,1.5084,1.144
2015-05-25,1.175,2.7098,1.175
2015-05-26,1.207,2.7234,1.207
2015-05-27,1.209,0.1657,1.209
2015-05-28,1.145,-5.2936,1.145
2015-05-29,1.161,1.3974,1.161
2015-06-01,1.227,5.6848,1.227
2015-06-02,1.274,3.8305,1.274
2015-06-03,1.28,0.471,1.28
2015-06-04,1.276,-0.3125,1.276
2015-06-05,1.287,0.8621,1.287
2015-06-08,1.289,0.1554,1.289
2015-06-09,1.284,-0.3879,1.284
2015-06-10,1.306,1.7134,1.306
2015-06-11,1.329,1.7611,1.329
2015-06-12,1.347,1.3544,1.347
2015-06-15,1.312,-2.5984,1.312
2015-06-16,1.263,-3.7348,1.263
2015-06-17,1.284,1.6627,1.284
2015-06-18,1.238,-3.5826,1.238
2015-06-19,1.165,-5.8966,1.165
2015-06-23,1.175,0.8584,1.175
2015-06-24,1.196,1.7872,1.196
2015-06-25,1.148,-4.0134,1.148
2015-06-26,1.053,-8.2753,1.053
2015-06-29,0.987,-6.2678,0.987
2015-06-30,1.033,4.6606,1.033
2015-07-01,0.974,-5.7115,0.974
2015-07-02,0.905,-7.0842,0.905
2015-07-03,0.847,-6.4088,0.847
2015-07-06,0.824,-2.7155,0.824
2015-07-07,0.78,-5.3398,0.78
2015-07-08,0.739,-5.2564,0.739
2015-07-09,0.782,5.8187,0.782
2015-07-10,0.824,5.3708,0.824
2015-07-13,0.872,5.8252,0.872
2015-07-14,0.893,2.4083,0.893
2015-07-15,0.854,-4.3673,0.854
2015-07-16,0.864,1.171,0.864
2015-07-17,0.905,4.7454,0.905
2015-07-20,0.919,1.547,0.919
2015-07-21,0.937,1.9587,0.937
2015-07-22,0.946,0.9605,0.946
2015-07-23,0.973,2.8541,0.973
2015-07-24,0.957,-1.6444,0.957
2015-07-27,0.896,-6.3741,0.896
2015-07-28,0.878,-2.0089,0.878
2015-07-29,0.914,4.1002,0.914
2015-07-30,0.89,-2.6258,0.89
2015-07-31,0.883,-0.7865,0.883
2015-08-03,0.861,-2.4915,0.861
2015-08-04,0.893,3.7166,0.893
2015-08-05,0.888,-0.5599,0.888
2015-08-06,0.888,0.0,0.888
2015-08-07,0.908,2.2523,0.908
2015-08-10,0.939,3.4141,0.939
2015-08-11,0.946,0.7455,0.946
2015-08-12,0.937,-0.9514,0.937
2015-08-13,0.952,1.6009,0.952
2015-08-14,0.963,1.1555,0.963
2015-08-17,0.975,1.2461,0.975
2015-08-18,0.928,-4.8205,0.928
2015-08-19,0.939,1.1853,0.939
2015-08-20,0.919,-2.1299,0.919
2015-08-21,0.885,-3.6997,0.885
2015-08-24,0.836,-5.5367,0.836
2015-08-25,0.792,-5.2632,0.792
2015-08-26,0.774,-2.2727,0.774
2015-08-27,0.796,2.8424,0.796
2015-08-28,0.827,3.8945,0.827
2015-08-31,0.811,-1.9347,0.811
2015-09-01,0.783,-3.4525,0.783
2015-09-02,0.775,-1.0217,0.775
2015-09-07,0.778,0.3871,0.778
2015-09-08,0.8,2.8278,0.8
2015-09-09,0.815,1.875,0.815
2015-09-10,0.81,-0.6135,0.81
2015-09-11,0.815,0.6173,0.815
2015-09-14,0.783,-3.9264,0.783
2015-09-15,0.759,-3.0651,0.759
2015-09-16,0.79,4.0843,0.79
2015-09-17,0.781,-1.1392,0.781
2015-09-18,0.788,0.8963,0.788
2015-09-21,0.806,2.2843,0.806
2015-09-22,0.809,0.3722,0.809
2015-09-23,0.802,-0.8653,0.802
2015-09-24,0.812,1.2469,0.812
2015-09-25,0.794,-2.2167,0.794
2015-09-28,0.806,1.5113,0.806
2015-09-29,0.797,-1.1166,0.797
2015-09-30,0.797,0.0,0.797
2015-10-08,0.826,3.6386,0.826
2015-10-09,0.839,1.5738,0.839
2015-10-12,0.87,3.6949,0.87
2015-10-13,0.877,0.8046,0.877
2015-10-14,0.866,-1.2543,0.866
2015-10-15,0.889,2.6559,0.889
2015-10-16,0.897,0.8999,0.897
2015-10-19,0.894,-0.3344,0.894
2015-10-20,0.911,1.9016,0.911
2015-10-21,0.867,-4.8299,0.867
