t_date,n,partial_ic
2004-11-30,30,-0.2120944537647851
2004-12-31,33,-0.3267238080061106
2005-01-31,36,-0.14536579141486405
2005-02-28,36,-0.22522280138520737
2005-03-31,36,-0.11005127526358918
2005-04-29,37,0.19045796916190327
2005-05-31,39,0.08297607429491559
2005-06-30,47,-0.008838014628117419
2005-07-29,56,-0.15799506954951387
2005-08-31,59,-0.03599408836037735
2005-09-30,63,0.03626471676379374
2005-10-31,67,0.3462295809818472
2005-11-30,67,0.3166355838245179
2005-12-30,70,0.2885491546115226
2006-01-25,70,0.2177604563037551
2006-02-28,73,0.21532292398373928
2006-03-31,76,-0.08604267006364225
2006-04-28,80,-0.11293261593575721
2006-05-31,82,-0.020475285079063998
2006-06-30,82,-0.01975877954807634
2006-07-31,84,-0.04303070601457462
2006-08-31,87,-0.12027872937423845
2006-09-29,89,-0.14257936267100302
2006-10-31,95,0.0474611552667239
2006-11-30,98,0.0827987605361479
2006-12-29,101,0.031149155260700095
2007-01-31,106,-0.09722571962190303
2007-02-28,109,-0.07465255873167068
2007-03-30,107,-0.06762970841760772
2007-04-30,112,-0.05510884493217617
2007-05-31,115,-0.024029907150541232
2007-06-29,118,0.08190367710415761
2007-07-31,124,0.003103657349691215
2007-08-31,132,-0.024634835332367273
2007-09-28,137,-0.20174910770732396
2007-10-31,146,-0.09192094196930102
2007-11-30,151,-0.12437006540178558
2007-12-28,164,-0.057003008233057983
2008-01-31,169,-0.12334516999344686
2008-02-29,173,-0.06631473128973693
2008-03-31,180,-0.038025993796318366
2008-04-30,183,-0.038236635088379996
2008-05-30,191,-0.05224672117472422
2008-06-30,195,0.007118125652657682
2008-07-31,199,0.04721393788112774
2008-08-29,207,0.13627749433576808
2008-09-26,211,0.12984581888368005
2008-10-31,214,0.11371894972302808
2008-11-28,215,0.11604497715589453
2008-12-31,218,0.0957386614883101
2009-01-23,219,0.05829931993544357
2009-02-27,221,0.05408678698597208
2009-03-31,221,0.0740195485906116
2009-04-30,221,-0.04439833043631843
2009-05-27,224,-0.06666167316200874
2009-06-30,227,-0.09070985492196254
2009-07-31,242,-0.026688765045275103
2009-08-31,247,-0.029860731633754856
2009-09-30,254,-0.15388500760045953
2009-10-30,257,-0.09608098390294555
2009-11-30,262,-0.10484780527663792
2009-12-31,270,-0.05535014235508977
2010-01-29,273,-0.0659067728546856
2010-02-26,276,-0.07499005032889615
2010-03-31,278,0.0483254177608659
2010-04-30,282,-0.15880771040658637
2010-05-31,290,-0.09270194917094829
2010-06-30,296,-0.06691217622535565
2010-07-30,302,-0.06856817213053568
2010-08-31,308,-0.09907784880814728
2010-09-30,312,-0.06558195623314078
2010-10-29,315,0.03766216247216282
2010-11-30,320,0.06966663747428029
2010-12-31,327,0.07948770799409816
2011-01-31,336,0.06042022253097747
2011-02-28,338,0.037089115081277074
2011-03-31,339,-0.030617385288859822
2011-04-29,347,-0.10495807022322823
2011-05-31,352,-0.13548532295947047
2011-06-30,356,-0.07318939596857094
2011-07-29,362,-0.03356797711119183
2011-08-31,373,-0.10302515146555927
2011-09-30,378,-0.15212799411180292
2011-10-31,385,-0.08947512366427801
2011-11-30,391,-0.03373178856725586
2011-12-30,394,0.06715231194554207
2012-01-31,396,0.06985561900136657
2012-02-29,406,-0.006251199024091403
2012-03-30,416,-0.015075772165628722
2012-04-27,419,-0.13666692583700926
2012-05-31,424,-0.052118182752431665
2012-06-29,433,0.031511900298232344
2012-07-31,441,0.06681489804407478
2012-08-31,452,0.03727306009305332
2012-09-28,460,-0.014142990422781415
2012-10-31,466,0.06429875138371363
2012-11-30,473,0.07953839658474178
2012-12-31,478,0.037213970681154784
2013-01-31,491,-0.053501634090803864
2013-02-28,494,-0.06356386906221105
2013-03-29,497,0.004152986088415796
2013-04-26,507,-0.010064993015894261
2013-05-31,515,-0.039629839740521755
2013-06-28,518,0.01672060641067384
2013-07-31,527,-0.004905994352280427
2013-08-30,517,-0.07518537783099442
2013-09-30,552,-0.12588568678584416
2013-10-31,568,-0.15215147794044778
2013-11-29,573,-0.12774649430410692
2013-12-31,574,-0.1481108997781355
2014-01-30,583,-0.09542636294426225
2014-02-28,585,-0.075189600885839
2014-03-31,591,-0.039116027985099534
2014-04-30,597,0.01262124576241592
2014-05-30,606,0.01891038622705017
2014-06-30,611,-0.014796700372092221
2014-07-31,625,-0.043168582949252854
2014-08-29,632,-0.01212860643661876
2014-09-30,644,0.05159653387107642
2014-10-31,652,0.059269732917791695
2014-11-28,661,0.07091328269569133
2014-12-31,671,0.061734687776883276
2015-01-30,680,0.015735791738186074
2015-02-27,688,-0.05661627984047388
2015-03-31,692,0.023215112757376363
2015-04-30,706,0.0911782793099308
2015-05-29,723,0.10981799631356334
2015-06-30,737,0.08973877855121971
2015-07-31,755,0.13313818235058053
2015-08-31,766,0.2023154677038309
2015-09-30,776,0.014515565210389292
2015-10-30,798,-0.07703489232908238
2015-11-30,810,-0.07028492684724111
2015-12-31,825,-0.08955662183161112
2016-01-29,844,0.14986116547112627
2016-02-29,851,0.18026977992430654
2016-03-31,874,-0.04427720225687226
2016-04-29,903,0.205547109725156
2016-05-31,964,0.21152720667267652
2016-06-30,1038,0.08263453166860678
2016-07-29,1108,0.028737231150885098
2016-08-31,1135,0.03917906316120842
2016-09-30,1163,0.040570709830060205
2016-10-31,1196,-0.011555179982191386
2016-11-30,1216,0.0019705459427294585
2016-12-30,1247,0.02580264439144852
2017-01-26,1268,-0.00715784000737065
2017-02-28,1302,-0.012149833931673806
2017-03-31,1341,-0.060593357521025216
2017-04-28,1369,0.13884866798619383
2017-05-31,1398,0.11539234376734352
2017-06-30,1435,0.06124762778702525
2017-07-31,1474,0.043836035240151464
2017-08-31,1511,0.08611953792920468
2017-09-29,1543,-0.014326147117225517
2017-10-31,1587,0.03077038644447659
2017-11-30,1615,-0.014081044000327043
2017-12-29,1658,0.007582696860675582
2018-01-31,1715,0.05091116765926132
2018-02-28,1742,-0.010317763854839561
2018-03-30,1710,-0.046544418056779696
2018-04-27,1809,-0.037834096603714173
2018-05-31,1843,0.016463535776828953
2018-06-29,1876,-0.08134922763359545
2018-07-31,1902,-0.08115715918591127
2018-08-31,1928,0.09099907578677738
2018-09-28,1949,0.09840639442881188
2018-10-31,1986,0.15984474691706105
2018-11-30,1999,0.12329966580163193
2018-12-28,2020,0.15382068817617683
2019-01-31,2062,0.15726823352186053
2019-02-28,2073,0.1398335987312368
