t_date,n,partial_ic
2004-11-30,30,-0.02845402276261982
2004-12-31,33,-0.22187797785842686
2005-01-31,36,0.022712629099253284
2005-02-28,36,-0.1308135495504458
2005-03-31,36,-0.06013587636381645
2005-04-29,37,-0.1816006719131755
2005-05-31,39,-0.07983937189111724
2005-06-30,47,-0.10463121666566731
2005-07-29,56,-0.3603750516554329
2005-08-31,59,-0.22057751184807306
2005-09-30,63,-0.2625543836541664
2005-10-31,67,-0.12628576801764324
2005-11-30,67,-0.13111365440149197
2005-12-30,70,-0.20192311112542127
2006-01-25,70,-0.15132237795380354
2006-02-28,73,-0.15860049857564915
2006-03-31,76,-0.11103937509333991
2006-04-28,80,-0.0015206719224349894
2006-05-31,82,0.1176151852340939
2006-06-30,82,0.1446055853661644
2006-07-31,84,0.3000424344220841
2006-08-31,87,0.2492069443878049
2006-09-29,89,0.17752616012807299
2006-10-31,95,0.10281466394642277
2006-11-30,98,0.019630076220904933
2006-12-29,101,0.16291690552889676
2007-01-31,106,0.018218210888743546
2007-02-28,109,0.05124386797862905
2007-03-30,110,0.06736886984600013
2007-04-30,112,0.3647596651405561
2007-05-31,115,0.38887627108127154
2007-06-29,118,0.18689468665228756
2007-07-31,124,0.2929657030862934
2007-08-31,132,-0.11004567979836076
2007-09-28,137,0.08404324400615402
2007-10-31,146,-0.07686127003461275
2007-11-30,151,-0.07717217046939731
2007-12-28,164,-0.08099162587441495
2008-01-31,169,-0.0907944308466942
2008-02-29,173,-0.019148257099634945
2008-03-31,180,-0.20723853450956226
2008-04-30,183,-0.22796873990791786
2008-05-30,191,-0.2977279003997643
2008-06-30,195,-0.3084283248953339
2008-07-31,199,-0.26905231241571753
2008-08-29,207,-0.3395095500887235
2008-09-26,212,-0.12900339780384368
2008-10-31,214,0.029962978270293955
2008-11-28,215,0.1079994842782333
2008-12-31,218,0.20151394780738824
2009-01-23,219,0.27106484363800415
2009-02-27,221,0.18376535409351105
2009-03-31,221,0.24556611726193192
2009-04-30,221,0.2977773670607366
2009-05-27,224,0.21820079347620405
2009-06-30,227,0.02788572500077586
2009-07-31,242,-0.2396617843444352
2009-08-31,247,0.05146708277560561
2009-09-30,254,-0.25705671192009166
2009-10-30,257,-0.4203837364528084
2009-11-30,262,-0.34944296248036194
2009-12-31,270,-0.3554475865446423
2010-01-29,273,-0.2700699774954753
2010-02-26,276,-0.2600462701908423
2010-03-31,278,-0.19865355842558544
2010-04-30,282,-0.010900682267405091
2010-05-31,290,0.025252125071920047
2010-06-30,296,-0.04590481451146946
2010-07-30,302,-0.031099969452250985
2010-08-31,308,0.017938180069433145
2010-09-30,312,-0.021296800016073106
2010-10-29,315,0.0028924954943896756
2010-11-30,320,-0.0009564529405591542
2010-12-31,327,0.08293767874476221
2011-01-31,336,0.017264328565048923
2011-02-28,338,-0.02525731515466609
2011-03-31,340,-0.004946963294757135
2011-04-29,348,-0.0697265278146754
2011-05-31,353,-0.13477898248030445
2011-06-30,357,-0.09187133906735634
2011-07-29,363,-0.0017479796598283285
2011-08-31,374,0.0013501512188257528
2011-09-30,379,0.02171575167187771
2011-10-31,386,0.06645455387724038
2011-11-30,392,0.048498704188891135
2011-12-30,395,-0.023251162361456107
2012-01-31,397,-0.09287189500266882
2012-02-29,407,-0.16766682156549217
2012-03-30,417,-0.10695631293422135
2012-04-27,420,-0.10992985504454736
2012-05-31,425,-0.03520676322634844
2012-06-29,434,-0.07423287439055083
2012-07-31,442,-0.1190253383981245
2012-08-31,453,0.003266621630478787
2012-09-28,461,-0.03800838972922083
2012-10-31,474,-0.10167398392192056
2012-11-30,481,-0.12072584555581412
2012-12-31,486,-0.06851626688769413
2013-01-31,499,-0.0934251455081329
2013-02-28,501,-0.0946310484766713
2013-03-29,504,-0.13374511164142325
2013-04-26,512,-0.1463461114420457
2013-05-31,520,-0.01441295579761746
2013-06-28,523,-0.03472657824294961
2013-07-31,532,-0.09212816799180829
2013-08-30,545,-0.1161457110052296
