t_date,base_beta,base_Xty,base_train_rows,base_train_rows_used,base_fill_ratio,base_n_test,base_ic_model,base_ic_base,clean_beta,clean_Xty,clean_train_rows,clean_train_rows_used,clean_fill_ratio,clean_n_test,clean_ic_model,clean_ic_base,rank_beta,rank_Xty,rank_train_rows,rank_train_rows_used,rank_fill_ratio,rank_n_test,rank_ic_model,rank_ic_base,ref_n_test,ref_ic_model,ref_ic_base,ref_alpha,sign_flip,ic_opposite,ref_opposite
2005-06-30,0.003398419564297672,0.9765099173505107,306,306,0.058823529411764705,47,-0.20432469935245143,-0.20432469935245143,0.003871670406106765,1.1111732782230477,288,288,0.058823529411764705,47,-0.20432469935245143,-0.20432469935245143,0.008596938767327008,2.622074920973504,306,306,0.058823529411764705,47,-0.20432469935245143,-0.20432469935245143,47,-0.2043246993524514,-0.2043246993524514,0.001,False,False,False
2005-07-29,0.004031990906526152,1.2925628275391534,342,342,0.06140350877192982,56,-0.32406015037593994,-0.32406015037593994,0.004200383388315215,1.3441268846442576,321,321,0.06140350877192982,56,-0.32406015037593994,-0.32406015037593994,0.00883951600114428,3.0142837959061994,342,342,0.06140350877192982,56,-0.32406015037593994,-0.32406015037593994,56,-0.3240601503759399,-0.3240601503759399,0.001,False,False,False
2005-08-31,0.004023781585799345,1.433197655909539,378,378,0.05555555555555555,59,0.002980713033313852,0.002980713033313852,0.004171401901778902,1.4850232484351904,357,357,0.05555555555555555,59,0.002980713033313852,0.002980713033313852,0.009303345214727105,3.5073704492973343,378,378,0.05555555555555555,59,0.002980713033313852,0.002980713033313852,59,0.0029807130333138,0.0029807130333138,0.001,False,False,False
2005-09-30,0.004340718337188447,1.7017505041568042,414,414,0.050724637681159424,63,0.08386136712749616,0.08386136712749616,0.00447720279271038,1.7550679719452602,393,393,0.050724637681159424,63,0.08386136712749616,0.08386136712749616,0.009847359470890254,4.066969308837146,414,414,0.050724637681159424,63,0.08386136712749616,0.08386136712749616,63,0.0838613671274961,0.0838613671274961,0.001,False,False,False
2005-10-31,0.0036247010085416298,1.5516727355039497,451,451,0.04878048780487805,67,0.12103918908133134,0.12103918908133134,0.003948306592013196,1.6898791696882394,429,429,0.04878048780487805,67,0.12103918908133134,0.12103918908133134,0.009176167204146993,4.129284418033352,451,451,0.04878048780487805,67,0.12103918908133134,0.12103918908133134,67,0.1210391890813313,0.1210391890813313,0.001,False,False,False
2005-11-30,0.0027931676619733967,1.299214822688263,489,489,0.04703476482617587,67,0.1111421502115093,0.1111421502115093,0.0030757373124077106,1.4302209260068979,466,466,0.04703476482617587,67,0.1111421502115093,0.1111421502115093,0.0077175254876011385,3.766160155474842,489,489,0.04703476482617587,67,0.1111421502115093,0.1111421502115093,67,0.1111421502115093,0.1111421502115093,0.001,False,False,False
2005-12-30,0.0022582886975621047,1.1384172083758681,532,532,0.05075187969924812,70,0.04704750240573878,0.04704750240573878,0.0025678658350972647,1.2942069487548566,505,505,0.05075187969924812,70,0.04704750240573878,0.04704750240573878,0.006888813832718077,3.6579670339871306,532,532,0.05075187969924812,70,0.04704750240573878,0.04704750240573878,70,0.0470475024057387,0.0470475024057387,0.001,False,False,False
2006-01-25,0.0014539731955994111,0.8016142099450412,585,585,0.05641025641025641,70,0.1775347738605546,0.1775347738605546,0.00178975190486232,0.9861550893310429,552,552,0.05641025641025641,70,0.1775347738605546,0.1775347738605546,0.005325016549634659,3.1098149900031893,585,585,0.05641025641025641,70,0.1775347738605546,0.1775347738605546,70,0.1775347738605546,0.1775347738605546,0.001,False,False,False
2006-02-28,0.0004835540342244544,0.2937801982575333,643,643,0.05443234836702955,73,0.18724546464272493,0.18724546464272493,0.0007811722349096105,0.47417232776236795,608,608,0.05443234836702955,73,0.18724546464272493,0.18724546464272493,0.0032937399250864306,2.1145843256454144,643,643,0.05443234836702955,73,0.18724546464272493,0.18724546464272493,73,0.1872454646427249,0.1872454646427249,0.001,False,False,False
2006-03-31,0.0005127067998879633,0.3417109417793538,705,705,0.05390070921985816,76,0.2119207108680793,0.2119207108680793,0.0007935601823730257,0.528511875020617,667,667,0.05390070921985816,76,0.2119207108680793,0.2119207108680793,0.003000067483030208,2.1120505081207503,705,705,0.05390070921985816,76,0.2119207108680793,0.2119207108680793,76,0.2119207108680793,0.2119207108680793,0.001,False,False,False
2006-04-28,0.0009132595427449777,0.6662394999323006,772,772,0.054404145077720206,80,0.06455696202531645,0.06455696202531645,0.0011592515901672124,0.8450955684834878,730,730,0.054404145077720206,80,0.06455696202531645,0.06455696202531645,0.0031823377389474587,2.4535855790662304,772,772,0.054404145077720206,80,0.06455696202531645,0.06455696202531645,80,0.0645569620253164,0.0645569620253164,0.001,False,False,False
2006-05-31,0.0015215081545309917,1.2119676419688794,839,839,0.050059594755661505,82,0.23938572719060522,0.23938572719060522,0.0017612761093177246,1.401977544293018,797,797,0.050059594755661505,82,0.23938572719060522,0.23938572719060522,0.004133657969072752,3.4640095117409366,839,839,0.050059594755661505,82,0.23938572719060522,0.23938572719060522,82,0.2393857271906052,0.2393857271906052,0.001,False,False,False
2006-06-30,0.0014603191187314833,1.2612048329583143,906,906,0.046357615894039736,82,0.255319380503042,0.255319380503042,0.0016979722633037742,1.4653517612034204,864,864,0.046357615894039736,82,0.255319380503042,0.255319380503042,0.0045901462325229426,4.154086930579496,906,906,0.046357615894039736,82,0.255319380503042,0.255319380503042,82,0.255319380503042,0.255319380503042,0.001,False,False,False
