factor_set,variant,t_date,regime,r_gross,r_net,pool_ret,pool_ret_net,nav_gross,nav_net
size,orig_all,2006-12-29,bull,0.0,-0.00024999999999997247,0.1425616835731271,0.14224547653802966,1.0,0.99975
size,orig_all,2007-01-31,bull,0.1226800837129713,0.12239941369204321,0.11941716415438167,0.11917868697398992,1.1226800837129713,1.1221188138386202
size,orig_all,2007-02-28,bull,0.016491259917971506,0.016237137102991905,0.025672610268196203,0.025456807127013814,1.1411944927782118,1.1403388108647645
size,orig_all,2007-03-30,bull,0.05847963102618343,0.058215011118426974,0.05619823436783541,0.056143107257641045,1.2079311256449943,1.2067236474180305
size,orig_all,2007-04-30,bull,0.19026932302636684,0.1899717556956102,0.1842419165648398,0.1839872097529074,1.4377633631839446,1.4359670573574443
size,orig_all,2007-05-31,bull,0.10875499804933471,0.10847780929982243,0.10075884754983094,0.10049607378668224,1.5941273149424195,1.5917376179662923
size,orig_all,2007-06-29,bull,0.013046843235866254,0.011949375822360775,0.012590144408612482,0.012304908999062114,1.6149256441184858,1.6107578889739609
size,orig_all,2007-07-31,bull,0.1450656599575885,0.14382517215930113,0.13398942545391243,0.13363431884142196,1.849195898464968,1.8424254196625933
size,orig_all,2007-08-31,bull,0.14839706536741412,0.14715296854659932,0.13615242664712654,0.13571423266389782,2.123611143086628,2.1135437894916578
size,orig_all,2007-09-28,bull,0.05719053611306032,0.056045246365604484,0.05301493350619349,0.05276790691331579,2.245061602855421,2.231997871878211
size,orig_all,2007-10-31,bull,0.017700519898985502,0.016598011002428192,0.015049248765579266,0.014734091682884864,2.2848003604312113,2.269044597113042
size,orig_all,2007-11-30,bull,-0.13259254100418538,-0.13353223241809753,-0.12274221549968925,-0.12307013778520115,1.9818528749543582,1.966054006604315
size,orig_all,2007-12-28,bull,0.10824806433982437,0.10704746227012274,0.10287941249956062,0.10237039123225311,2.1963846124744832,2.176515098697314
size,orig_all,2008-01-31,bull,-0.08522278414340723,-0.0862137927939185,-0.07981396954255367,-0.07991528772845824,2.0092026007496693,1.9888694769653887
size,orig_all,2008-02-29,bull,0.011308032320117121,0.010212448618436953,0.010764513931449324,0.01061284377871341,2.03192272869661,2.0091807043076755
size,orig_all,2008-03-31,bull,-0.14804572400828542,-0.14896867447394313,-0.14185614780585312,-0.14205453751563724,1.7311052571978294,1.7098757180083375
size,orig_all,2008-04-30,bull,0.02221993307267268,0.02111252814517739,0.02001476352965125,0.019793880747075,1.7695703001545169,1.745975517229544
size,orig_all,2008-05-30,mix,-0.058290002288946784,-0.05931018811980038,-0.052143656107376715,-0.05239773669789216,1.6664220433080579,1.6424213808500938
size,orig_all,2008-06-30,mix,-0.1521254844566773,-0.15304401518184918,-0.14691429594119787,-0.14702894946753386,1.4129167826605336,1.3910586181042783
size,orig_all,2008-07-31,bear,0.012998313485216661,0.011900898645607727,0.011256281362856389,0.011056290280248238,1.431282317930079,1.4076134657284365
size,orig_all,2008-08-29,bear,-0.09861553123460938,-0.09959203107577197,-0.10739725540342869,-0.10761092813521811,1.2901356518007012,1.267426381706935
size,orig_all,2008-09-26,bear,-0.05211920027466452,-0.053146071141033646,-0.05440884448879208,-0.054545416365980204,1.2228948133830155,1.2000676490587152
size,orig_all,2008-10-31,bear,-0.14075848292878837,-0.1416893279056155,-0.1647710040002257,-0.16488920850039424,1.0507619946697386,1.0300308704223138
size,orig_all,2008-11-28,bear,0.059439976592747586,0.05829224995143867,0.0740045607936361,0.07391939961444649,1.1132192630374567,1.0900736873786692
size,orig_all,2008-12-31,bear,0.02676157128182481,0.025649246246269408,0.024495474729758097,0.02438790046209527,1.143010759697534,1.1180332558128236
size,orig_all,2009-01-23,bear,0.04352734217847498,0.04239685422444839,0.059988181123057024,0.05988605396191904,1.1927629801485673,1.1654343487776053
size,orig_all,2009-02-27,bear,0.03036872954908681,0.029252496758741975,0.03338775735722733,0.0333075940700327,1.228985676508862,1.1995262132877489
size,orig_all,2009-03-31,bear,0.08501341130415445,0.08383798010857513,0.1094689882556449,0.10938369165318318,1.3334659413128245,1.3000920680970816
size,orig_all,2009-04-30,bear,0.037160820437111365,0.03603722954830468,0.042093470531509226,0.04201207642890137,1.3830186297169542,1.3469437843890262
size,orig_all,2009-05-27,mix,0.03473709364830436,0.0336161284635188,0.037632008748598886,0.037555325549542884,1.4310606773747818,1.3922228196781858
size,orig_all,2009-06-30,bear,0.08184665657270355,0.0806746560280831,0.10018145883134241,0.09989230787988101,1.5481882091705763,1.5045399167701714
size,orig_all,2009-07-31,mix,0.12157287119654898,0.12035783391941934,0.12803888248729134,0.1276501885469732,1.7364058949120864,1.6856230821979328
size,orig_all,2009-08-31,bull,-0.17089918664483747,-0.17179737919263893,-0.1825646534576422,-0.1827079719853384,1.4396555397863098,1.3960374543697098
size,orig_all,2009-09-30,bull,0.052683059673838246,0.051542653025858476,0.056408111873097466,0.05621221105218699,1.5155009984986438,1.4679929284913906
size,orig_all,2009-10-30,bull,0.07496300582635629,0.0737984625700443,0.07209324926688551,0.07198745572103538,1.6291075086789464,1.5763285496777522
size,orig_all,2009-11-30,bull,0.0763059265068401,0.07513992841979111,0.06869506494464091,0.0685066239428811,1.7534180665079435,1.6947737640666116
size,orig_all,2009-12-31,bull,0.012505072224815538,0.011408191729905148,0.012297835971660051,0.012128479662886438,1.7753446860699216,1.7141080681058967
size,orig_all,2010-01-29,bull,-0.06331497907546875,-0.0643297211814704,-0.06668969718023522,-0.06678717662606215,1.6629387744196598,1.6038399740097355
size,orig_all,2010-02-26,bull,0.03144415769654159,0.0303267598590371,0.02588472125208184,0.025844612196960215,1.7152284834822051,1.6524792437538531
size,orig_all,2010-03-31,bull,0.013355163619970084,0.012257362192715116,0.013328306432095127,0.013284170326273381,1.738135640524743,1.672734280360488
size,orig_all,2010-04-30,bull,-0.0461305697972813,-0.047163928346667494,-0.0437679360364108,-0.044008339291012,1.6579544530423742,1.5938415606185516
