factor_set,variant,t_date,regime,r_gross,r_net,pool_ret,pool_ret_net,nav_gross,nav_net
size_growth_sector,orig_all,2015-04-30,bull,0.0,-0.00024999999999997247,0.12464922385342292,0.12440671931297409,1.0,0.99975
size_growth_sector,orig_all,2015-05-29,bull,0.2227032026198121,0.22239752681915714,0.18405085140015026,0.18370946259865217,1.2227032026198121,1.2220919274374524
size_growth_sector,orig_all,2015-06-30,bull,-0.18258167076619874,-0.18278602534850708,-0.1258220986254803,-0.12607710826044882,0.9994600090343049,0.9987106014106644
size_growth_sector,orig_all,2015-07-31,bull,-0.17922372101610842,-0.17942891508585435,-0.1235450734718402,-0.1237625405382976,0.8203330672083834,0.8195130417148078
size_growth_sector,orig_all,2015-08-31,bull,-0.1317673939087161,-0.1319844520602389,-0.11215936850078032,-0.11232829966565905,0.712239916805191,0.7113500619478592
size_growth_sector,orig_all,2015-09-30,bull,0.0066663589873426285,0.006414692397595845,-0.0014172930416975833,-0.0015572268760054575,0.7169879637757295,0.7159131537822655
size_growth_sector,orig_all,2015-10-30,bull,0.1528698724785852,0.1516209301167335,0.13501492733527548,0.13477875695897423,0.8265938223668058,0.8244605720415367
size_growth_sector,orig_all,2015-11-30,bull,0.07471751975910625,0.0735532424460339,0.0607732993011521,0.06059400180792407,0.8883548626222528,0.8851023203841036
size_growth_sector,orig_all,2015-12-31,bull,0.041691817161740224,0.04056331769314836,0.036721137036149855,0.036543834172840794,0.9253919911294426,0.9210050069967868
size_growth_sector,orig_all,2016-01-29,mix,-0.22828900499233049,-0.22912502523692213,-0.21494404002598402,-0.21517872193554188,0.7141351742466306,0.7099797115253164
size_growth_sector,orig_all,2016-02-29,mix,-0.01790513943804026,-0.01896907553698235,-0.018570068043752667,-0.018773240461129048,0.7013484843741356,0.6965120527476677
size_growth_sector,orig_all,2016-03-31,mix,0.13271122191521043,0.13148411809146898,0.1175836791983432,0.11732990051177805,0.794425298723808,0.7880923257432735
size_growth_sector,orig_all,2016-04-29,mix,-0.010334524763135977,-0.011406662361309272,-0.011079605236365033,-0.011365620184788816,0.7862152908016851,0.779102822673981
size_growth_sector,orig_all,2016-05-31,bear,0.004030771107977165,0.0029430711059434955,0.0020385848953040258,0.001640212746239822,0.7893843446804985,0.7813957776799518
size_growth_sector,orig_all,2016-06-30,bear,0.03553123086175907,0.03440940536165882,0.04193716676296128,0.04136826906990865,0.8174321420699996,0.80828314174203
size_growth_sector,orig_all,2016-07-29,bear,0.0014134791974595386,0.0003286145949956687,-0.002838111572152985,-0.0031195491966673483,0.8185875653981504,0.8085487553792954
size_growth_sector,orig_all,2016-08-31,bear,0.021304407220600882,0.02019799411277856,0.01928041934031497,0.01907024448386041,0.8360270882371127,0.8248798183803409
size_growth_sector,orig_all,2016-09-30,mix,-0.0015773730237631882,-0.0026589975363207063,-0.008136910166399816,-0.008270861291299392,0.8347083616609922,0.8226864649755069
size_growth_sector,orig_all,2016-10-31,mix,0.014795391656719656,0.013696029982424918,0.013551780901900533,0.013486296315494029,0.8470581987909053,0.8339540034659466
size_growth_sector,orig_all,2016-11-30,mix,0.010825036038546532,0.009729975582837946,0.008464324288340227,0.008314535413868507,0.8562276343195631,0.8420683555568802
size_growth_sector,orig_all,2016-12-30,mix,-0.030270906573239175,-0.03132144642445145,-0.03725289576235627,-0.0374336982236374,0.8303088475956499,0.8156935566725795
size_growth_sector,orig_all,2017-01-26,mix,-0.006382828759618618,-0.007459247361795707,-0.0044962161703734375,-0.00464856342574993,0.8250091284038507,0.8096090966619358
size_growth_sector,orig_all,2017-02-28,mix,0.02950329629595712,0.028388001058303303,0.022934710597269002,0.02273911486397684,0.8493496171660189,0.8325922805547868
size_growth_sector,orig_all,2017-03-31,mix,0.005995335701200903,0.004905507420857935,0.0097743698106848,0.009624396725674611,0.8544417532486155,0.8366765681655974
size_growth_sector,orig_all,2017-04-28,mix,-0.006889968236764281,-0.007965837437841072,-0.005363165759616779,-0.005511670186450601,0.8485546767085673,0.8300117386355396
size_growth_sector,orig_all,2017-05-31,mix,-0.02316890450737619,-0.024227138194159892,-0.023147619464504648,-0.02329396406112416,0.8288945944346191,0.8099029295408414
size_growth_sector,orig_all,2017-06-30,mix,0.05981749197137045,0.0586693563550682,0.04774818463369475,0.04755373301668997,0.8784769901823244,0.8574194131270867
size_growth_sector,orig_all,2017-07-31,mix,0.020872504386633586,0.01976655917354808,0.00946602149729603,0.009328996566141612,0.8968130050134616,0.8743676446932122
size_growth_sector,orig_all,2017-08-31,mix,0.021286371059992825,0.02017997749134448,0.020061139031662057,0.01992871755821457,0.9159028994096055,0.892012364082281
size_growth_sector,orig_all,2017-09-29,mix,0.03012383841440026,0.029007870922784562,0.019587318436885413,0.019445460602516285,0.9434934103547011,0.9178877436011077
size_growth_sector,orig_all,2017-10-31,mix,0.04883044925878415,0.04769421627208703,0.028001011236028675,0.027861830355285777,0.9895646174550236,0.9616656801579169
size_growth_sector,orig_all,2017-11-30,bull,-0.02029341134265546,-0.021354760147034302,-0.02274465557157161,-0.02290645184234741,0.9694829756228712,0.94112954021651
size_growth_sector,orig_all,2017-12-29,mix,0.032932083648278924,0.031813073890993415,0.01390424055478349,0.013732167010280572,1.001410070071666,0.9710697638204144
size_growth_sector,orig_all,2018-01-31,bull,0.035228612858716375,0.034107115194786264,0.015540659932270712,0.01531157582606979,1.0366883577430408,1.0041901521172112
size_growth_sector,orig_all,2018-02-28,bull,-0.03424616888129036,-0.035292402198335626,-0.024443135052207052,-0.02456129841684962,1.001185753166505,0.9687498693850828
size_growth_sector,orig_all,2018-03-30,mix,-0.018723593944745442,-0.019786643384638647,0.00010030401671237299,-5.217868193574393e-05,0.9824399576609512,0.9495815611906449
size_growth_sector,orig_all,2018-04-27,mix,-0.03346642149327428,-0.03451349953665661,-0.023744608157711854,-0.023868471154531945,0.9495612079460353,0.9168081784184738
size_growth_sector,orig_all,2018-05-31,mix,0.055401640275913676,0.05425828849894798,0.01417847973920959,0.014028615634869901,1.0021684564086235,0.9665526210612984
