factor_set,variant,t_date,regime,r_gross,r_net,pool_ret,pool_ret_net,nav_gross,nav_net
size,orig_all,2007-01-31,bull,0.0,-0.00024999999999997247,0.12066893112392921,0.12042975069147155,1.0,0.99975
size,orig_all,2007-02-28,bull,0.017708613874748994,0.017454186721280518,0.0258789816904243,0.025659657428738214,1.017708613874749,1.0171998231746002
size,orig_all,2007-03-30,bull,0.05918918521096816,0.058924387914665255,0.0565016111020924,0.05644757281322188,1.0779459575121793,1.0771377001420692
size,orig_all,2007-04-30,bull,0.19163961224473444,0.19134170234167325,0.1863756759676518,0.18612411326123857,1.2845231028305921,1.2832390613436475
size,orig_all,2007-05-31,bull,0.10843897552632892,0.10816186578244724,0.10189447977324517,0.10162964129552421,1.4238154721414427,1.4220365924634928
size,orig_all,2007-06-29,bull,0.012471178609101699,0.012218060814449316,0.012373150615873059,0.012083819000602736,1.441572129200921,1.439411122030584
size,orig_all,2007-07-31,bull,0.1450656599575885,0.14382517215930113,0.13546972900482251,0.1351644217719632,1.6506947414999187,1.6464346744646456
size,orig_all,2007-08-31,bull,0.14839706536741412,0.14715296854659932,0.13769560266885794,0.13724823724107038,1.8956529969559288,1.888712424330172
size,orig_all,2007-09-28,bull,0.05719053611306032,0.056045246365604484,0.05345409018239038,0.05320192951535363,2.004066408136168,1.9945657774655348
size,orig_all,2007-10-31,bull,0.017700519898985502,0.016598011002428192,0.014947030225939975,0.014625664587130993,2.0395394254722703,2.0276716021849746
size,orig_all,2007-11-30,bull,-0.13259254100418538,-0.13353223241809753,-0.12414831802793129,-0.12448188901070123,1.7691117105706855,1.7569120865344343
size,orig_all,2007-12-28,bull,0.10824806433982437,0.10704746227012274,0.10378483681760885,0.10326619093042955,1.9606146288408777,1.9449850668296518
size,orig_all,2008-01-31,bull,-0.08522278414340723,-0.0862137927939185,-0.08042868300135034,-0.08053010163133112,1.7935255915387651,1.7773005272907345
size,orig_all,2008-02-29,bull,0.011308032320117121,0.010212448618436953,0.010712411125974026,0.01055823053979843,1.8138068368948426,1.7954511176052121
size,orig_all,2008-03-31,bull,-0.14804572400828542,-0.14896867447394313,-0.143069710346543,-0.1432693505633874,1.5452804905155675,1.5279851445328039
size,orig_all,2008-04-30,bull,0.02221993307267268,0.02111252814517739,0.020437310333118734,0.02021317762055741,1.5796165195933303,1.5602447739021656
size,orig_all,2008-05-30,mix,-0.058290002288946784,-0.05931018811980038,-0.052643831439134293,-0.05290152123854319,1.487540669050577,1.4677063628490927
size,orig_all,2008-06-30,mix,-0.1525190194454131,-0.15343712384101393,-0.14862031733957057,-0.1487317335561572,1.2606624248218092,1.2425057198903724
size,orig_all,2008-07-31,bear,0.013139181273259597,0.012041613826880182,0.01149074583113147,0.011287925667197607,1.27722649694593,1.257467493946982
size,orig_all,2008-08-29,bear,-0.10040270548575747,-0.10137726922148127,-0.1086809048671959,-0.1088959647542963,1.148989501134462,1.1299888732758576
size,orig_all,2008-09-26,bear,-0.05382278548360451,-0.054847810799330654,-0.05512154110017819,-0.05525871615627975,1.087147685691988,1.0680114573490747
size,orig_all,2008-10-31,bear,-0.14685578031695998,-0.14778001988828326,-0.1669178861801083,-0.16702994738731092,0.9274937639899139,0.910180702941114
size,orig_all,2008-11-28,bear,0.062473561210601554,0.06132254818595673,0.07490036911612757,0.07481717281963163,0.985437602426989,0.9659953029551483
size,orig_all,2008-12-31,bear,0.028126400773684307,0.027012597172846098,0.02471708517612505,0.02460851150417165,1.0131544153703091,0.9920893449447372
size,orig_all,2009-01-23,bear,0.04637595638097225,0.0452423824282262,0.06077345739115985,0.06067233539789463,1.060140420344712,1.0369738304916953
size,orig_all,2009-02-27,bear,0.030991958245638596,0.02987505029087245,0.03358839910369501,0.033507831796840026,1.0929962479865492,1.0679534758279534
size,orig_all,2009-03-31,bear,0.08929376217792008,0.08811369393556068,0.1105471747127662,0.11046433298007163,1.1905939950156192,1.1620548015344758
size,orig_all,2009-04-30,bear,0.040164268065092414,0.0390374234413553,0.04264504425917971,0.04256452486633555,1.2384133313881158,1.2074184268840373
size,orig_all,2009-05-27,mix,0.03628101283126135,0.03515837506736097,0.037872746416578416,0.037795706607276935,1.2833442213546131,1.2498692967996692
size,orig_all,2009-06-30,bear,0.08388271398418755,0.08270850771070459,0.10072407745134264,0.10043204722200705,1.390994617617762,1.3532441211713975
size,orig_all,2009-07-31,mix,0.12341708218606288,0.1222000470136948,0.12845920683616974,0.1280662026299635,1.5626671146606648,1.5186106163995483
size,orig_all,2009-08-31,bull,-0.1750420116451009,-0.17593571613248538,-0.18360031737055618,-0.18372988222574982,1.2891347193788165,1.2514327700768988
size,orig_all,2009-09-30,bull,0.05395747383108452,0.052815686567767584,0.05701934429562048,0.056821515003265155,1.3586931722644415,1.3175280510219134
size,orig_all,2009-10-30,bull,0.07575003712125161,0.07458464124770359,0.07281691343653539,0.07271214164870576,1.461614230499864,1.415795408041169
size,orig_all,2009-11-30,bull,0.07682014317607216,0.07565358802096478,0.06942814453567389,0.06926270651487632,1.5738956449550483,1.5229054105630893
size,orig_all,2009-12-31,bull,0.012505072224815538,0.011408191729905148,0.012483904188302973,0.012311427334019687,1.5935773236695336,1.5402790074733028
size,orig_all,2010-01-29,bull,-0.06331497907546875,-0.0643297211814704,-0.06739008691205597,-0.06748728056389319,1.4926800087662555,1.4411932883808733
size,orig_all,2010-02-26,bull,0.03144415769654159,0.0303267598590371,0.026296150382697562,0.026256760921906874,1.5396160743523768,1.4849000111480561
size,orig_all,2010-03-31,bull,0.013355163619970084,0.012257362192715116,0.013507442470577362,0.01346295889770821,1.5601778989372888,1.5031009684046646
size,orig_all,2010-04-30,bull,-0.0461305697972813,-0.047163928346667494,-0.04419975685256864,-0.04444383461812551,1.4882060034741866,1.4322088220330205
size,orig_all,2010-05-31,mix,-0.04738742694452495,-0.04841942389866838,-0.044258257841578524,-0.04440396298458993,1.4176837502061501,1.3628620959675912
size,orig_all,2010-06-30,mix,-0.06316672331819877,-0.06418162603460398,-0.06289383387024212,-0.06299461089153868,1.328133313004172,1.2753913905874628
size,orig_all,2010-07-30,mix,0.08910814832704124,0.08792828116635376,0.08601808291258521,0.08589850289202983,1.4464808132574325,1.387534363376184
size,orig_all,2010-08-31,bear,0.06029144345187704,0.05914279438813752,0.0550004172937462,0.054843825629282694,1.5336912294141682,1.469597022935817
size,orig_all,2010-09-30,mix,0.031948780745318685,0.03083083623284466,0.0242013731541612,0.024100860845224004,1.5826907942337398,1.5149059280782273
size,orig_all,2010-10-29,mix,0.058651856181275504,0.057504983337079096,0.06949965696103454,0.06937384072408581,1.6755185470765657,1.602020568229608
size,orig_all,2010-11-30,mix,0.025527601834881498,0.02441661359956049,0.0015574720190986335,0.0013739929600029566,1.7182905174132954,1.6411364854226187
size,orig_all,2010-12-31,mix,-0.014617434649674929,-0.01568493242880442,-0.008909916006516421,-0.009127127337812402,1.6931735180658505,1.6153953705423194
size,orig_all,2011-01-31,mix,-0.05956811162265884,-0.060586912835067674,-0.05089710171700299,-0.05098154586138526,1.592314368945174,1.5175235520331
size,orig_all,2011-02-28,mix,0.057375130646828004,0.05622964092196048,0.05403386872617596,0.053976392215689506,1.6836736138942248,1.6028533564545393
size,orig_all,2011-03-31,mix,-0.036046530761418234,-0.03709081368642675,-0.02890929717622823,-0.029080137205448886,1.6229830211787983,1.5434022212436203
size,orig_all,2011-04-29,mix,-0.023965638606145964,-0.02502300916432265,-0.022180412655989683,-0.022242359040830273,1.5840871966293162,1.5047816533172051
size,orig_all,2011-05-31,mix,-0.05655046339223239,-0.05757253372355742,-0.05343989384812268,-0.05353978118501446,1.4945063316062261,1.4181475608350098
size,orig_all,2011-06-30,mix,0.03478161738728359,0.0336606039684475,0.02875143863328924,0.02864889294609263,1.5464876790150268,1.4658832642490969
size,orig_all,2011-07-29,mix,0.013177329536163436,0.012079720762499191,0.006076273451460351,0.005873770877325102,1.5668662567850244,1.4835907247516469
size,orig_all,2011-08-31,mix,-0.02086470174780917,-0.021925431654249095,-0.02139794560761492,-0.021510569933242296,1.5341740596584987,1.4510623577132267
size,orig_all,2011-09-30,mix,-0.09940693853548983,-0.10038258101874309,-0.0954309612339531,-0.09553730845968045,1.3816665132072834,1.3054009730268303
size,orig_all,2011-10-31,mix,0.031327965773305294,0.030210693810384104,0.030446599095581617,0.03039751288589798,1.4249513144431631,1.3448380421227213
size,orig_all,2011-11-30,bear,-0.028830077259120863,-0.02988217800875681,-0.028410159187528882,-0.0285065235172014,1.3838698579572808,1.3046513523550622
size,orig_all,2011-12-30,bear,-0.07106687439573296,-0.0720732186151376,-0.07237574821472946,-0.0724655274557976,1.28552255258179,1.2106209302202409
size,orig_all,2012-01-31,bear,-0.018090913205614283,-0.01915464804964151,-0.017409354238268303,-0.01754298399263743,1.262266275659173,1.1874319123803425
size,orig_all,2012-02-29,bear,0.06418209788355317,0.06302923394417936,0.06981612099365088,0.06961947905705412,1.343281173318638,1.2622748361785474
size,orig_all,2012-03-30,mix,-0.03656736819087006,-0.03761108687532988,-0.04322612227454441,-0.04328002244280327,1.2941609160700316,1.2147993076544932
size,orig_all,2012-04-27,bear,0.03965699587210745,0.03853070079324583,0.044057364951060995,0.043962225268488586,1.3454834501764634,1.2616063763015706
size,orig_all,2012-05-31,bear,0.014928235477377531,0.01382872988894368,0.020719717502705386,0.020626646779043467,1.365569143951612,1.2790527901056141
size,orig_all,2012-06-29,mix,-0.011168339256354758,-0.012239573555493655,-0.022882177835840244,-0.02303552054951774,1.3503180044739505,1.2633977293997571
size,orig_all,2012-07-31,mix,-0.027089504219829478,-0.028143490590258002,-0.03887785740664902,-0.038980231034076995,1.3137385591936417,1.2278413072906418
size,orig_all,2012-08-31,bear,-0.025597649175050804,-0.026653251721777793,-0.02653347497327683,-0.026657404667388973,1.2801099404476661,1.1951153438530275
size,orig_all,2012-09-28,bear,0.022435180736912336,0.02132754262444725,0.02506356831822152,0.02491061875836853,1.3088294383247276,1.2206042172901839
size,orig_all,2012-10-31,mix,0.003210560758854004,0.0021237493180319422,-0.004098532020283519,-0.004180529469920868,1.3130315147594458,1.2231964746642408
size,orig_all,2012-11-30,mix,-0.055303231418036024,-0.056326652917333186,-0.06543460470443724,-0.06557164226380052,1.2404166290395298,1.1542979113861225
size,orig_all,2012-12-31,mix,0.09174791998349213,0.09056519307017674,0.12464023937087951,0.12448081604018135,1.3542222746668415,1.2588371245913084
size,orig_all,2013-01-31,mix,0.04060264992277198,0.03947533038535567,0.04676610821942157,0.0466368999968052,1.4092072876027595,1.3085301359859014
size,orig_all,2013-02-28,mix,0.02765765981416453,0.02654436401603255,0.022877268620726202,0.022810586049469617,1.448182663370918,1.3432642362414597
size,orig_all,2013-03-29,mix,0.0015176763168107618,0.0004326988341343263,-0.018823643894463168,-0.0189492147820145,1.450380535901532,1.3438454651104157
size,orig_all,2013-04-26,mix,-0.0005276487415691525,-0.0016104104554325316,-0.006396972582253879,-0.0065097648692510335,1.4496152444369672,1.3416813223229163
size,orig_all,2013-05-31,mix,0.10069441398719696,0.09950199503871082,0.09365682445704669,0.0935191841972689,1.595583401982455,1.475181290600222
size,orig_all,2013-06-28,mix,-0.07055817738606343,-0.07156507269389512,-0.08332244059200157,-0.08344158390033019,1.4830019452711185,1.369609834301743
size,orig_all,2013-07-31,mix,0.05376304073063981,0.05262146410318147,0.03880260857827368,0.03864982951752172,1.5627326392583476,1.4416807090328165
size,orig_all,2013-08-30,mix,0.026020414330082706,0.024908892214558387,0.026931597048564265,0.02681505136250295,1.6033955900189933,1.477591378421923
size,orig_all,2013-09-30,mix,0.08821039654378071,0.08703150194752474,0.05610490828743733,0.05590826810349525,1.7448317508311177,1.6061883753506963
size,orig_all,2013-10-31,mix,-0.07256046373368612,-0.07356518989797456,-0.042601711397786464,-0.042727873043494236,1.6182259498535525,1.4880288225061031
size,orig_all,2013-11-29,mix,0.051988147766182234,0.05084849393943558,0.038764885901726234,0.03869965739351522,1.7023545196536098,1.5636928470690101
