t_date,pool_n,delisted_in_pool,delisted_top
2006-11-30,100,2,0
2006-12-29,104,2,0
2007-01-31,107,2,0
2007-02-28,110,2,0
2007-03-30,110,2,0
2007-04-30,113,2,0
2007-05-31,117,2,0
2007-06-29,122,2,0
2007-07-31,128,3,0
2007-08-31,136,3,0
2007-09-28,141,3,0
2007-10-31,148,3,0
2007-11-30,157,3,0
2007-12-28,169,3,0
2008-01-31,171,3,0
2008-02-29,175,3,0
2008-03-31,181,3,0
2008-04-30,187,3,0
2008-05-30,195,3,1
2008-06-30,197,3,3
2008-07-31,203,3,3
2008-08-29,210,3,3
2008-09-26,214,3,3
2008-10-31,214,3,3
2008-11-28,215,3,3
2008-12-31,218,3,3
2009-01-23,219,3,3
2009-02-27,221,3,3
2009-03-31,221,3,3
2009-04-30,223,3,2
2009-05-27,225,3,3
2009-06-30,234,3,0
2009-07-31,247,3,0
2009-08-31,250,4,0
2009-09-30,257,4,0
2009-10-30,260,4,0
2009-11-30,267,5,0
2009-12-31,274,5,0
2010-01-29,277,5,0
2010-02-26,278,5,0
2010-03-31,279,5,0
2010-04-30,290,5,0
2010-05-31,298,7,0
2010-06-30,302,7,1
2010-07-30,307,8,3
2010-08-31,313,8,0
2010-09-30,317,8,0
2010-10-29,321,9,0
2010-11-30,328,10,0
2010-12-31,339,10,0
2011-01-31,341,10,1
2011-02-28,342,10,1
2011-03-31,351,10,1
2011-04-29,354,11,3
2011-05-31,359,11,2
2011-06-30,364,11,1
2011-07-29,376,12,1
2011-08-31,382,12,2
2011-09-30,389,13,4
2011-10-31,395,18,8
2011-11-30,399,18,9
2011-12-30,401,18,9
2012-01-31,408,19,11
2012-02-29,420,20,11
2012-03-30,424,22,11
2012-04-27,428,21,9
2012-05-31,436,24,8
2012-06-29,445,24,7
2012-07-31,454,27,10
2012-08-31,461,27,12
2012-09-28,475,31,11
2012-10-31,480,31,9
2012-11-30,489,31,11
2012-12-31,498,33,6
2013-01-31,506,33,1
2013-02-28,509,33,1
2013-03-29,515,33,0
2013-04-26,525,35,0
2013-05-31,531,35,0
2013-06-28,539,37,0
2013-07-31,553,41,0
2013-08-30,562,42,0
2013-09-30,579,46,0
2013-10-31,585,47,0
2013-11-29,587,48,0
2013-12-31,595,49,0
2014-01-30,600,50,0
2014-02-28,605,51,0
2014-03-31,610,52,0
2014-04-30,619,53,0
2014-05-30,627,56,1
2014-06-30,641,61,0
2014-07-31,655,65,2
2014-08-29,664,68,0
2014-09-30,676,71,0
2014-10-31,684,73,0
2014-11-28,692,76,0
2014-12-31,704,77,7
2015-01-30,715,78,7
2015-02-27,719,80,7
2015-03-31,733,81,6
2015-04-30,749,81,5
2015-05-29,766,85,0
2015-06-30,782,87,1
2015-07-31,797,89,0
2015-08-31,806,91,0
2015-09-30,820,93,0
2015-10-30,833,94,0
2015-11-30,845,94,0
2015-12-31,864,95,0
2016-01-29,877,98,0
2016-02-29,902,99,0
2016-03-31,925,103,1
2016-04-29,973,113,7
2016-05-31,1040,124,19
2016-06-30,1137,137,14
2016-07-29,1198,155,3
2016-08-31,1235,158,0
2016-09-30,1259,161,0
2016-10-31,1272,165,0
2016-11-30,1297,166,1
2016-12-30,1335,173,7
2017-01-26,1366,178,2
2017-02-28,1407,183,4
2017-03-31,1441,190,1
2017-04-28,1473,196,0
2017-05-31,1504,204,3
2017-06-30,1554,218,2
2017-07-31,1588,230,4
2017-08-31,1628,243,3
2017-09-29,1665,251,0
2017-10-31,1705,269,0
2017-11-30,1753,286,1
2017-12-29,1798,294,0
2018-01-31,1871,318,2
2018-02-28,1908,338,2
2018-03-30,1952,354,2
2018-04-27,1985,362,0
2018-05-31,2028,377,0
2018-06-29,2057,384,1
