t_date,phase,n_test,n_rounds,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2006-03-31,dev,30,88,0.2121526000143755,-0.20196984939233126,-0.04293659621802002,-0.03982202447163515,0.38383772236588953,0.41855366236600516,0.4279708419074771,0.35339764468168533,0.030440077684204203,-0.04413311954158755,322,2006-03-15
2006-04-28,dev,32,98,0.19638792365001845,-0.20220044933645767,-0.16129032258064518,-0.1539589442815249,0.3184682408665184,0.2745963254472043,0.25858886174279033,0.2862155999887406,0.03225264087777785,0.059879379123728094,349,2006-04-14
2006-05-31,dev,32,7,0.045439861529596316,,0.11950146627565982,0.09604105571847506,0.2959536697431107,0.2353989636927966,0.2269808238080444,0.25552509756849573,0.040428572174614985,0.06897284593506631,376,2006-05-15
2006-06-30,dev,32,3,-0.06179176022153299,,0.08321114369501466,-0.026759530791788853,0.47430863798514394,0.39506556018171685,0.380102638056997,0.48288871368895747,-0.008580075703813528,0.09420599992814693,403,2006-06-14
2006-07-31,dev,34,7,-0.028874477662552453,-0.025482359571881278,0.29802052785923755,0.04873949579831932,0.6302376060197338,0.611978693455522,0.5685785774097665,0.7754410010445576,-0.14520339502482382,0.061659028609967304,431,2006-07-14
2006-08-31,dev,34,11,0.001370066452705398,,0.20152788388082504,-0.1498854087089381,0.7228086637699247,0.6681477806419328,0.6314944197027604,0.9402171071208207,-0.21740844335089604,0.09131424406716426,460,2006-08-07
2006-09-29,dev,34,26,-0.026242093348968695,,0.1361344537815126,-0.1547746371275783,0.8881783925928551,0.8360441226556482,0.7866891293524452,1.2636045223104686,-0.37542612971761347,0.10148926324040997,490,2006-08-30
2006-10-31,dev,35,22,0.0063417917825191366,-0.23773246378396357,0.3442322383498854,-0.04565826330532213,1.0892174843874132,1.0754430291288728,0.9577548360814401,1.5500094573269703,-0.4607919729395571,0.1314626483059731,520,2006-10-09
2006-11-30,dev,35,117,0.04928227659517573,,0.2913165266106443,-0.1689075630252101,1.0649774753350065,1.0078572517704085,0.9421251990212071,1.4022217063180502,-0.3372442309830437,0.12285227631379947,552,2006-11-06
2006-12-29,dev,37,150,0.06809755221479423,-0.2798585392747781,0.17310924369747901,-0.13063063063063063,0.7406936568739468,0.6845879192490921,0.6364546268640559,0.8700799148672225,-0.12938625799327563,0.10423903000989099,584,2006-11-30
