t_date,phase,n_test,alpha_sel,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2006-03-31,dev,30,0.001,-0.0642,-0.4696329254727475,-0.04293659621802002,-0.03982202447163515,0.3926900608982115,0.5417671514624912,0.4279708419074771,0.35339764468168533,0.03929241621652618,-0.03528078100926557,322,2006-03-15
2006-04-28,dev,32,0.001,-0.0676,-0.20564516129032256,-0.16129032258064518,-0.1539589442815249,0.2406367172038205,0.2906446729533178,0.25858886174279033,0.2862155999887406,-0.04557888278492009,-0.017952144538969844,349,2006-04-14
2006-05-31,dev,32,0.001,-0.0668,0.23936950146627564,0.11950146627565982,0.09604105571847506,0.23037843080145926,0.22298884095619756,0.2269808238080444,0.25552509756849573,-0.025146666767036474,0.003397606993414848,376,2006-05-15
2006-06-30,dev,32,1000.0,-0.0464,0.13526392961876832,0.08321114369501466,-0.026759530791788853,0.3884248388384221,0.3785338194055736,0.380102638056997,0.48288871368895747,-0.09446387485053537,0.008322200781425093,403,2006-06-14
2006-07-31,dev,34,1000.0,-0.072,0.28922841864018334,0.29802052785923755,0.04873949579831932,0.5950847729094567,0.5606712099094043,0.5685785774097665,0.7754410010445576,-0.18035622813510088,0.026506195499690244,431,2006-07-14
2006-08-31,dev,34,100.0,-0.0334,0.3494270435446906,0.20152788388082504,-0.1498854087089381,0.725134710582253,0.5967933571349452,0.6314944197027604,0.9402171071208207,-0.21508239653856775,0.09364029087949255,460,2006-08-07
2006-09-29,dev,34,31.622776601683793,-0.1016,0.33537051184110006,0.1361344537815126,-0.1547746371275783,0.8818635365537683,0.7520461149236317,0.7866891293524452,1.2636045223104686,-0.38174098575670035,0.09517440720132309,490,2006-08-30
2006-10-31,dev,35,1000.0,-0.111,0.34369747899159664,0.3442322383498854,-0.04565826330532213,1.070298815388407,0.8801607695418652,0.9577548360814401,1.5500094573269703,-0.4797106419385633,0.11254397930696691,520,2006-10-09
2006-11-30,dev,35,1.0,-0.1013,0.37815126050420167,0.2913165266106443,-0.1689075630252101,0.9957774985111615,0.9199378987213017,0.9421251990212071,1.4022217063180502,-0.4064442078068887,0.053652299489954425,552,2006-11-06
2006-12-29,dev,37,0.31622776601683794,-0.0835,0.25902436178511146,0.17310924369747901,-0.13063063063063063,0.6725553401261,0.6272984090444568,0.6364546268640559,0.8700799148672225,-0.1975245747411225,0.036100713262044115,584,2006-11-30
