t_date,phase,n_test,alpha_sel,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2006-03-31,dev,30,100.0,-0.0917,-0.03937708565072302,-0.04293659621802002,-0.03982202447163515,0.4011794054815135,0.3944972908703743,0.4279708419074771,0.35339764468168533,0.047781760799828155,-0.0267914364259636,322,2006-03-15
2006-04-28,dev,32,1000.0,-0.0903,0.06524926686217009,-0.16129032258064518,-0.1539589442815249,0.24356804429207915,0.23006727514601513,0.25858886174279033,0.2862155999887406,-0.04264755569666143,-0.015020817450711182,349,2006-04-14
2006-05-31,dev,32,31.622776601683793,-0.0795,-0.10117302052785922,0.11950146627565982,0.09604105571847506,0.22573970322584558,0.24475587578520064,0.2269808238080444,0.25552509756849573,-0.02978539434265015,-0.0012411205821988291,376,2006-05-15
2006-06-30,dev,32,316.22776601683796,-0.0636,-0.18108504398826977,0.08321114369501466,-0.026759530791788853,0.31476027330375606,0.3746250379041165,0.380102638056997,0.48288871368895747,-0.16812844038520142,-0.06534236475324096,403,2006-06-14
2006-07-31,dev,34,316.22776601683796,-0.0449,-0.415126050420168,0.29802052785923755,0.04873949579831932,0.47703123215944915,0.6045456274558262,0.5685785774097665,0.7754410010445576,-0.29840976888510845,-0.09154734525031732,431,2006-07-14
2006-08-31,dev,34,316.22776601683796,-0.0046,-0.5795263559969441,0.20152788388082504,-0.1498854087089381,0.489391346052728,0.7090913528143555,0.6314944197027604,0.9402171071208207,-0.45082576106809275,-0.14210307365003244,460,2006-08-07
2006-09-29,dev,34,10.0,0.0053,-0.5086325439266615,0.1361344537815126,-0.1547746371275783,0.6351188257684993,0.9547536297550554,0.7866891293524452,1.2636045223104686,-0.6284856965419693,-0.15157030358394585,490,2006-08-30
2006-10-31,dev,35,10.0,0.0095,-0.39187675070028016,0.3442322383498854,-0.04565826330532213,0.7930146818158702,1.123186327160446,0.9577548360814401,1.5500094573269703,-0.7569947755111001,-0.16474015426556987,520,2006-10-09
2006-11-30,dev,35,10.0,0.0138,-0.44229691876750704,0.2913165266106443,-0.1689075630252101,0.758859296961071,1.052721943045466,0.9421251990212071,1.4022217063180502,-0.6433624093569792,-0.18326590206013604,552,2006-11-06
2006-12-29,dev,37,3.1622776601683795,0.0258,-0.07610241820768135,0.17310924369747901,-0.13063063063063063,0.5878441108820069,0.7051606603104801,0.6364546268640559,0.8700799148672225,-0.2822358039852155,-0.04861051598204891,584,2006-11-30
2007-01-31,dev,38,3.1622776601683795,0.0132,-0.3622934675566255,0.42057847321005215,0.13973082394135025,0.6882191996435374,0.8936302569147221,0.7661342692959322,1.0027736146075918,-0.31455441496405445,-0.07791506965239481,616,2007-01-04
2007-02-28,dev,39,100.0,0.0014,-0.4109311740890689,0.36076157128788705,0.10991902834008098,0.7071880256540853,0.9259091618314411,0.8105164087960108,1.0597688176120847,-0.3525807919579994,-0.1033283831419255,650,2007-02-02
2007-03-30,dev,39,10.0,-0.0323,-0.3388663967611336,0.34271255060728745,0.11801619433198382,0.7442204605933612,0.9436487615175895,0.8363070737837689,1.0321980426949038,-0.28797758210154256,-0.09208661319040767,684,2007-03-14
2007-04-30,dev,40,10.0,-0.0638,-0.20037523452157602,0.09606003752345216,0.10938086303939965,0.45681606092356075,0.4649125698109858,0.4610284575771916,0.49423540952631995,-0.037419348602759195,-0.004212396653630823,718,2007-04-12
2007-05-31,dev,41,1.0,-0.0894,-0.09634146341463416,0.11463414634146342,0.019163763066202093,0.22573737199857402,0.23685972546142006,0.22746549633073157,0.2060758379939469,0.019661534004627113,-0.001728124332157549,753,2007-05-14
2007-06-29,dev,43,1.0,-0.1034,0.414074297795228,0.20714285714285718,-0.16007248565388102,0.3800641796606632,0.30892023533319624,0.3561715255868841,0.43065659106957943,-0.05059241140891624,0.023892654073779107,788,2007-06-13
2007-07-31,dev,46,1.0,-0.101,-0.043601603453592354,0.05778717406624383,0.03311748381128584,0.05318023022788979,0.06542893830679238,0.06986938284148747,0.024970160724069768,0.028210069503820025,-0.01668915261359768,825,2007-07-12
