t_date,phase,n_test,alpha_sel,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2006-03-31,dev,30,0.001,-0.0196,-0.3797552836484983,-0.04293659621802002,-0.03982202447163515,0.418648937055148,0.5250810942988995,0.4279708419074771,0.35339764468168533,0.06525129237346267,-0.009321904852329088,322,2006-03-15
2006-04-28,dev,31,0.001,-0.0285,-0.3584677419354839,-0.16129032258064518,-0.22137096774193551,0.23327057118370895,0.27060193225325174,0.2545704175486597,0.2862155999887406,-0.05294502880503163,-0.021299846364950775,349,2006-04-14
2006-05-31,dev,32,3.1622776601683795,-0.0449,-0.09200879765395893,0.11950146627565982,0.09604105571847506,0.20282345747582053,0.20239620876980602,0.2269808238080444,0.25552509756849573,-0.052701640092675195,-0.024157366332223873,376,2006-05-15
2006-06-30,dev,32,0.001,-0.078,-0.16715542521994134,0.08321114369501466,-0.026759530791788853,0.3654631242383721,0.3515695763766426,0.380102638056997,0.48288871368895747,-0.1174255894505854,-0.014639513818624939,403,2006-06-14
2006-07-31,dev,32,0.001,-0.0855,0.07954545454545453,0.29802052785923755,0.04582111436950146,0.5756895879330997,0.5594996151545798,0.5681243838136666,0.7754410010445576,-0.19975141311145794,0.007565204119433067,431,2006-07-14
2006-08-31,dev,34,10.0,-0.0584,0.14469060351413293,0.20152788388082504,-0.1498854087089381,0.608065077086664,0.6220380310752606,0.6314944197027604,0.9402171071208207,-0.3321520300341567,-0.023429342616096416,460,2006-08-07
2006-09-29,dev,34,1000.0,-0.0737,0.19266615737203968,0.1361344537815126,-0.1547746371275783,0.8699362254974676,0.7831024585894318,0.7866891293524452,1.2636045223104686,-0.393668296813001,0.08324709614502246,490,2006-08-30
2006-10-31,dev,34,1000.0,-0.0764,0.25286478227654696,0.3442322383498854,-0.07257448433919021,1.1159679711640647,0.9191055988613813,0.9487004873438575,1.5500094573269703,-0.4340414861629056,0.16726748382020717,520,2006-10-09
2006-11-30,dev,35,1000.0,-0.0873,0.3445378151260505,0.2913165266106443,-0.1689075630252101,1.0325182603407475,0.9238990641698054,0.9421251990212071,1.4022217063180502,-0.36970344597730276,0.09039306131954039,552,2006-11-06
2006-12-29,dev,35,1000.0,-0.0722,0.1843137254901961,0.17310924369747901,-0.215406162464986,0.688971130403389,0.616493756296225,0.6281430481396227,0.8700799148672225,-0.1811087844638335,0.06082808226376624,584,2006-11-30
2007-01-31,dev,37,1000.0,-0.0852,0.4343290659080132,0.42057847321005215,0.11213845424371739,0.9062746679058636,0.7179410799284457,0.7582278997754773,1.0027736146075918,-0.0964989467017282,0.1480467681303863,616,2007-01-04
2007-02-28,dev,38,1000.0,-0.1138,0.41087646350804247,0.36076157128788705,0.09596235912025386,0.991852378842492,0.7430938525729417,0.809291364984086,1.0597688176120847,-0.06791643876959275,0.18256101385840595,650,2007-02-02
2007-03-30,dev,39,1000.0,-0.186,0.3530364372469636,0.34271255060728745,0.11801619433198382,0.9619395577045551,0.778898974573221,0.8363070737837689,1.0321980426949038,-0.0702584849903487,0.1256324839207862,684,2007-03-14
2007-04-30,dev,40,1000.0,-0.2122,-0.03395872420262664,0.09606003752345216,0.10938086303939965,0.4812187405415634,0.47018170055081976,0.4610284575771916,0.49423540952631995,-0.013016668984756563,0.02019028296437181,718,2007-04-12
2007-05-31,dev,41,0.001,-0.2652,-0.0677700348432056,0.11463414634146342,0.019163763066202093,0.23542130784985016,0.24627716139309982,0.22746549633073157,0.2060758379939469,0.02934546985590325,0.007955811519118589,753,2007-05-14
2007-06-29,dev,41,316.22776601683796,-0.3048,0.3125435540069687,0.20714285714285718,-0.10470383275261326,0.44698883243478166,0.3318192006508204,0.36081694258537284,0.43065659106957943,0.016332241365202227,0.08617188984940882,788,2007-06-13
2007-07-31,dev,44,1000.0,-0.2978,0.06060606060606061,0.05778717406624383,0.04679351656095841,0.11554090306773057,0.07013118166359772,0.07043230222290618,0.024970160724069768,0.0905707423436608,0.04510860084482439,825,2007-07-12
2007-08-31,dev,47,1000.0,-0.0595,0.0906567992599445,-0.02590194264569843,0.09401017576318225,-0.07516137645998816,-0.08712321491684523,-0.0920370430659053,-0.186369615087412,0.11120823862742385,0.016875666605917133,863,2007-08-09
2007-09-28,dev,47,1000.0,0.1669,-0.026827012025901948,-0.03318686401480111,0.24549028677150786,-0.2213236645922743,-0.2092038080758429,-0.2282364229319998,-0.3272100319433745,0.10588636735110021,0.0069127583397255166,902,2007-08-30
2007-10-31,dev,51,1000.0,0.1732,0.021176470588235293,-0.05493212669683258,0.07900452488687783,-0.21245179149498972,-0.19956994517723528,-0.20720811131822608,-0.31000943475332776,0.09755764325833804,-0.005243680176763632,941,2007-10-08
2007-11-30,dev,52,1000.0,0.2208,0.06249466404849313,-0.08452147186886365,0.12131819346025782,-0.21688911981096717,-0.20200458783520564,-0.21140587577447484,-0.323139995541866,0.10625087573089884,-0.005483244036492335,981,2007-11-06
2007-12-28,dev,56,1000.0,0.2342,-0.18995215311004784,-0.19501025290498974,0.214149008885851,-0.35006751289019555,-0.29806904230636755,-0.32175678671232444,-0.4564084840140308,0.10634097112383523,-0.028310726177871115,1022,2007-11-30
2008-01-31,dev,56,1000.0,0.218,-0.2552973342447027,-0.1963773069036227,0.08557758031442242,-0.3197802260524293,-0.2663206367650258,-0.2984953982575598,-0.4112108451192873,0.09143061906685801,-0.02128482779486951,1065,2008-01-02
2008-02-29,dev,56,1000.0,0.1816,-0.4291182501708818,-0.2620642515379358,0.0758714969241285,-0.3925803023187239,-0.32344205327911774,-0.3677621551934496,-0.4883700035297516,0.0957897012110277,-0.024818147125274248,1111,2008-02-01
2008-03-31,dev,59,316.22776601683796,0.1802,-0.38012857977790776,-0.019170075978959675,0.14108708357685565,-0.3362117810575309,-0.2809533202917442,-0.32088991857097804,-0.4453419442663692,0.10913016320883828,-0.015321862486552873,1158,2008-03-12
2008-04-30,dev,60,316.22776601683796,0.1781,-0.4600166712975828,0.047846624062239516,0.1934426229508197,-0.4490870799286395,-0.34731020927822204,-0.4187060908560168,-0.5727786914209954,0.12369161149235586,-0.03038098907262271,1208,2008-04-10
2008-05-30,dev,63,1000.0,0.1724,-0.5436347926267282,0.24375960061443935,0.23262288786482335,-0.3603126871652205,-0.25615672976293014,-0.3205717927750174,-0.4592939443362972,0.0989812571710767,-0.03974089439020312,1260,2008-05-08
2008-06-30,dev,63,1000.0,0.1692,-0.47691052227342556,0.3329493087557604,0.20276497695852536,-0.24787655427448335,-0.1617107376849742,-0.21591702085226364,-0.348911229560369,0.10103467528588567,-0.031959533422219716,1315,2008-06-10
2008-07-31,dev,64,1000.0,0.1567,-0.3793956043956043,0.2727106227106227,0.1986263736263736,-0.1324260890348824,-0.07257625706349827,-0.10219651950951439,-0.16899697348861586,0.036570884453733465,-0.03022956952536801,1371,2008-07-08
2008-08-29,dev,67,1000.0,0.1489,-0.15978928884986834,0.25373134328358216,0.31135765025141676,-0.040324613432414814,-0.018798684174114413,-0.021392131659662337,-0.0735645832984898,0.03323996986607499,-0.018932481772752478,1427,2008-08-07
2008-09-26,dev,69,1000.0,0.138,0.14296675191815858,0.03222506393861893,0.3519546949214469,0.13512448636356414,0.1065713533372417,0.12135777343829247,0.12212740182657145,0.012997084536992692,0.013766712925271665,1483,2008-08-29
2008-10-31,dev,70,1000.0,0.1202,0.6430058612544833,-0.3007085994226227,0.3413699588837372,0.5777374230249792,0.3647687567283007,0.46737251351278175,0.6765559068559681,-0.0988184838309889,0.11036490951219746,1543,2008-10-07
2008-11-28,dev,71,1000.0,0.1019,0.626861167002012,-0.18839704896042922,0.348524480214621,0.5057853635943141,0.33910847785237397,0.4233962220275841,0.6178573536387304,-0.11207199004441626,0.08238914156673005,1604,2008-11-05
2008-12-31,dev,73,0.03162277660168379,0.0804,0.5602554609403925,-0.20387510798469707,0.24160804640256697,0.6221232599176935,0.4154109610531317,0.5500611700718959,0.8695433075024674,-0.24742004758477398,0.07206208984579754,1667,2008-12-03
2009-01-23,dev,73,0.03162277660168379,0.0616,0.4784647661359991,-0.08453659138590645,0.23411082315191908,0.5984444065965355,0.44116698905251267,0.5508816899959899,0.8372878787729707,-0.2388434721764352,0.047562716600545674,1730,2008-12-31
2009-02-27,dev,73,3.1622776601683795,0.0281,0.5058311736393929,-0.013791188448722699,0.3634147846476614,0.3595835342369194,0.2324452454369292,0.2938798070953827,0.42340418474470076,-0.06382065050778135,0.06570372714153672,1796,2009-02-11
2009-03-31,dev,73,3.1622776601683795,-0.0017,0.45705294335431335,0.16910403554239173,0.31077995804023206,0.18443667416664822,0.11039547980661005,0.14962180942829917,0.18522172319920038,-0.0007850490325521653,0.03481486473834905,1864,2009-03-12
2009-04-30,dev,73,3.1622776601683795,0.0038,0.579877823028508,0.235190670122177,0.33901024311983224,0.29389897372528156,0.2057520821639767,0.24904200219312705,0.3207837354160965,-0.02688476169081494,0.04485697153215451,1934,2009-04-09
2009-05-27,dev,75,10.0,-0.0012,0.5403698435277382,0.23564722617354195,0.36955903271692747,0.3088650927227872,0.1958820308692417,0.25089612249684845,0.2902907984601293,0.018574294262657942,0.057968970225938776,2004,2009-05-08
2009-06-30,dev,76,0.01,0.0139,0.3864114832535886,0.2897607655502392,0.27231715652768285,0.18140801897034795,0.1230521214250189,0.13566386664273633,0.12923207327772146,0.052175945692626485,0.045744152327611615,2076,2009-06-09
2009-07-31,dev,80,0.01,0.0354,-0.07754336615096111,0.026441631504922646,0.02967651195499297,-0.05040360862113732,-0.036530982837334705,-0.0609051782107316,-0.13492851485371204,0.08452490623257472,0.010501569589594285,2149,2009-07-10
2009-08-31,dev,82,0.01,0.037,0.2912789368857544,0.38411641144523895,0.3368160990846857,0.1997719536290538,0.14260103191996898,0.16993286326747079,0.15773542533559493,0.042036528293458886,0.029839090361583026,2222,2009-07-31
2009-09-30,dev,83,0.001,0.0373,0.14470425255027075,0.282208975273918,0.29203224046009824,0.18494255416488273,0.1399891966909861,0.16030546206664506,0.12876409617263018,0.056178457992252545,0.024637092098237667,2295,2009-08-28
2009-10-30,dev,85,1.0,0.0344,-0.10328317373461013,-0.05831541919093218,0.0972640218878249,-0.0017372642866971039,-0.006558879230086297,-0.001153178729314077,-0.11691235018467405,0.11517508589797695,-0.0005840855573830269,2368,2009-09-29
2009-11-30,dev,87,0.31622776601683794,0.0458,-0.20636801049792225,-0.18630166946125243,0.03635999125173143,-0.09790550582145112,-0.09046405837720123,-0.10167549276021581,-0.21849382729408717,0.12058832147263605,0.003769986938764694,2443,2009-11-05
2009-12-31,dev,88,0.001,0.0586,-0.21841428621746334,-0.15471452220774193,0.08053608537916948,-0.14904052588509703,-0.1333406282361913,-0.14344165495914163,-0.251550752247682,0.10251022636258494,-0.0055988709259554015,2518,2009-12-01
2010-01-29,dev,89,3.1622776601683795,0.0466,0.010776302349336058,0.025638406537282943,0.09210078311201907,0.004120886117122734,-0.016496717804249175,-0.0062297459257906855,-0.08923226248418081,0.09335314860130355,0.01035063204291342,2598,2009-12-31
2010-02-26,dev,91,3.1622776601683795,0.0355,0.10586080586080586,0.1062111801242236,0.16811594202898553,0.002048360886292967,-0.029484059191764247,-0.015997137890178207,-0.11172861589204997,0.11377697677834293,0.018045498776471172,2680,2010-02-03
2010-03-31,dev,91,3.1622776601683795,0.0344,0.18924988055422837,0.16677814938684504,0.12365026278069756,0.04679509661312043,0.01116347778857044,0.023641645781578385,-0.0516740310502698,0.09846912766339022,0.023153450831542046,2763,2010-03-11
2010-04-30,dev,93,0.31622776601683794,0.0392,0.4102235086986362,0.2808182387872638,0.18766972039031957,0.20994336315215642,0.13485108196903955,0.17544591435822687,0.14075468684033376,0.06918867631182266,0.03449744879392955,2848,2010-04-13
2010-05-31,dev,96,0.001,0.0271,0.36184210526315785,0.26294085729788386,0.2534319045035268,0.20977928439870733,0.13116148722852972,0.16602371782811584,0.14373604532421003,0.0660432390744973,0.043755566570591486,2935,2010-05-06
2010-06-30,dev,97,31.622776601683793,0.0143,0.4036792552072375,0.18026772564695978,0.2238849147906585,0.3025563824878567,0.20119534140740325,0.25328582758069595,0.23900712817051417,0.06354925431734254,0.04927055490716076,3023,2010-06-04
2010-07-30,dev,98,100.0,0.0123,0.3371459174110131,0.29672487551721716,0.34591868612487164,0.14526335048444833,0.09221560986385763,0.1098954144377471,0.08787854070940027,0.05738480977504806,0.03536793604670123,3112,2010-07-12
2010-08-31,dev,100,316.22776601683796,0.0254,0.26761476147614754,0.25936993699369937,0.2638943894389439,0.09697378319813058,0.061730517104000224,0.07736592040676622,0.10360093800332582,-0.00662715480519524,0.019607862791364353,3203,2010-08-09
2010-09-30,dev,101,1000.0,0.0492,0.01080955154338963,-0.09573675014560279,-0.08667443214909724,0.05678917776966871,0.053628293551442885,0.05880141417736438,0.14867858892332464,-0.09188941115365593,-0.0020122364076956764,3294,2010-08-30
2010-10-29,dev,101,1000.0,0.0884,0.12291205591147349,0.2582178217821782,0.2810133954571928,-0.04816383941358661,-0.06532506118438258,-0.06114037657417248,-0.0765054143763445,0.028341574962757896,0.012976537160585867,3385,2010-10-12
2010-11-30,dev,104,1000.0,0.1432,-0.3748319641523526,-0.32322628827483196,-0.3265549983996586,-0.11904883101219003,-0.0711483609483753,-0.09340103262308369,-0.04090966325946732,-0.07813916775272271,-0.025647798389106344,3481,2010-11-10
2010-12-31,dev,106,1000.0,0.1943,-0.1900445877522231,-0.19248305917323727,-0.17438597375116507,-0.05796481691057905,-0.04398917823959373,-0.04679101270032899,-0.0048125779786276635,-0.05315223893195139,-0.011173804210250063,3578,2010-12-08
2011-01-31,dev,112,1000.0,0.2399,0.08762428673933098,0.13203437318481565,0.1212030614685482,-0.0369761694364554,-0.05995362319073519,-0.0542521233384219,-0.09186096704445423,0.05488479760799883,0.017275953901966498,3675,2011-01-05
2011-02-28,dev,113,1000.0,0.2771,-0.030557588661920286,0.004957082972919024,0.027862798589393844,-0.07703912090213941,-0.08031077977283309,-0.08401328006995011,-0.1193835333759935,0.04234441247385409,0.0069741591678107034,3773,2011-02-11
2011-03-31,dev,114,1000.0,0.3006,-0.05440554059253559,0.13019987444563702,0.14722666612664792,-0.15585075365613543,-0.14700441043461546,-0.15537419330132032,-0.19915595503721661,0.04330520138108118,-0.0004765603548151087,3874,2011-03-15
2011-04-29,dev,115,316.22776601683796,0.2929,-0.04812593703148426,0.1445435177148268,0.11345379941608144,-0.08909088914327774,-0.08810137515387798,-0.09366076684549955,-0.14045126996610735,0.05136038082282961,0.0045698777022218084,3975,2011-04-13
2011-05-31,dev,116,316.22776601683796,0.2606,0.0066428324299388775,0.19338023296044288,0.19923884211740284,-0.07741457880027794,-0.07687154533283788,-0.08061169412690229,-0.14800490145777723,0.07059032265749929,0.003197115326624353,4078,2011-05-06
2011-06-30,dev,119,100.0,0.2174,-0.23211793191853014,0.06919954422446946,0.08481697763851304,-0.20715524314223166,-0.17258513860144153,-0.19088278457008354,-0.24484698049235742,0.037691737350125765,-0.016272458572148124,4183,2011-06-08
2011-07-29,dev,121,10.0,0.1837,-0.30728898523235326,-0.09195230998509683,0.004884162037664272,-0.186536534127108,-0.14530287725262866,-0.166173347290485,-0.14900276876893248,-0.037533765358175514,-0.020363186836623,4295,2011-07-11
2011-08-31,dev,124,3.1622776601683795,0.1639,-0.254552321007081,0.015351691581431943,-0.020015735641227377,-0.10080330723781675,-0.07958142619679563,-0.0910295749449954,-0.058207249182935406,-0.04259605805488134,-0.009773732292821344,4408,2011-08-08
2011-09-30,dev,125,0.01,0.1397,-0.11721044546850998,0.13797849462365588,0.04866973886328724,-0.026594286831173725,-0.019755984380504184,-0.024909412344326306,-0.0028306882713742265,-0.0237635985597995,-0.0016848744868474194,4522,2011-08-29
2011-10-31,dev,126,0.1,0.1206,-0.20952080989876268,0.13408023997000373,0.01065766779152606,-0.0560989468262723,-0.026691827482950747,-0.03578243676905597,-0.014133083912147959,-0.04196586291412434,-0.020316510057216325,4637,2011-09-30
2011-11-30,dev,126,0.31622776601683794,0.0957,0.006122234720659918,0.1706276715410574,0.08886989126359206,-0.009774236899249918,-0.016693123855072788,-0.012659583241600606,0.014572559408610575,-0.02434679630786049,0.002885346342350688,4753,2011-11-03
2011-12-30,dev,126,31.622776601683793,0.073,0.047199100112485945,0.11913610798650168,0.09945856767904014,0.0609104702845826,0.04699946598619564,0.0629827977475054,0.04409649484043854,0.016813975444144064,-0.002072327462922796,4870,2011-12-02
2012-01-31,dev,127,31.622776601683793,0.047,-0.11314796587926508,0.07534800337457817,-0.0061339988751406066,0.003203868402040144,0.02282164386419131,0.024701772441821628,-0.05250176523581118,0.055705633637851325,-0.021497904039781485,4990,2012-01-04
2012-02-29,dev,131,0.001,0.0377,-0.18452463566967386,0.15637110980622432,0.02227619708535739,-0.10310319315119268,-0.05847595648623685,-0.07201806411576789,-0.16296571598428788,0.059862522833095205,-0.03108512903542479,5114,2012-02-09
2012-03-30,dev,134,316.22776601683796,0.0163,-0.02016733375727877,0.12229828302098529,0.13940572825097572,-0.011817981939748515,-0.0018899802935740118,0.009525306817036791,-0.054886983130466804,0.04306900119071829,-0.021343288756785306,5238,2012-03-13
2012-04-27,dev,135,316.22776601683796,0.0058,-0.0996390596039411,0.23841576431567651,0.20075114622963613,-0.05129961341775462,-0.03098187299123609,-0.0368820610941582,-0.1250012851478416,0.07370167173008696,-0.01441755232359642,5364,2012-04-16
2012-05-31,dev,138,100.0,0.008,-0.18582430152355423,0.36570096509273053,0.24139647342741483,-0.16048665806826992,-0.1306130896920122,-0.14367704210880813,-0.19877798302610672,0.0382913249578368,-0.016809615959461788,5490,2012-05-10
2012-06-29,dev,140,316.22776601683796,0.0187,0.10166407907108965,0.2083007150510595,0.22615293783210516,0.009781476424593075,-0.005519946651407743,0.00438749589122267,0.024918630555912147,-0.015137154131319072,0.005393980533370405,5616,2012-06-11
2012-07-31,dev,145,1000.0,0.0309,0.12096913871831207,-0.150928987561014,-0.06330499133994645,0.1028810981247719,0.08577242567842935,0.10218627474905104,0.17793393864004026,-0.07505284051526835,0.0006948233757208683,5743,2012-07-12
2012-08-31,dev,148,1000.0,0.0257,0.12671718424355052,0.054553800479016215,0.09581064422866917,0.11569835504782025,0.09798716512387567,0.11510653802676407,0.1493989662873243,-0.03370061123950405,0.0005918170210561791,5872,2012-08-02
