fund_code,t_date,age_months,age_bucket,y,ret_1m,ret_3m,ret_6m,ret_12m
020001,2003-01-29,8.7,2_6to12m,0.01829770164503719,0.053288639987926656,-0.017970463079945764,-0.08201386570919322,
050001,2003-01-29,3.7,1_lt6m,0.17080938198221762,0.05900222537933586,0.040999102360203876,,
080001,2003-01-29,4.4,1_lt6m,0.06127222748811012,0.05600696460040222,0.032867239066015186,,
161601,2003-01-29,4.5,1_lt6m,0.060109041706404964,0.05208874798318197,0.020917140233136733,,
202001,2003-01-29,16.0,3_12to36m,0.0924445685426798,0.050321129031084766,-0.0038879221040627465,-0.0627710638382486,-0.007382321670708292
020001,2003-02-28,9.7,2_6to12m,8.913594320425489e-07,0.02409544046259704,0.042362073419889734,-0.07425620614851935,
050001,2003-02-28,4.7,1_lt6m,0.1476296611577823,0.03725618361087557,0.06545825231852498,,
070001,2003-02-28,3.8,1_lt6m,0.023190950986873737,0.020019233720094176,,,
080001,2003-02-28,5.4,1_lt6m,0.0528605462049212,0.013751730365985093,0.036143134229256635,,
090001,2003-02-28,3.6,1_lt6m,0.06811262659200024,0.004037932939335631,0.019501314960492122,,
161601,2003-02-28,5.5,1_lt6m,0.05272332972567195,0.011305484774685626,0.03448406674493332,,
180001,2003-02-28,3.5,1_lt6m,0.029442011121038947,0.003690541662877189,0.005998951187948132,,
202001,2003-02-28,17.0,3_12to36m,0.08253700213756976,0.022467680014248925,0.03968176884200125,-0.05866763992156521,-0.011677577449872079
020001,2003-03-31,10.7,2_6to12m,-0.020382902543565673,-0.003209383041892999,0.024174239313165202,-0.06237463578673064,
050001,2003-03-31,5.7,1_lt6m,0.05663082852874646,0.03969912432188183,0.10110294217818994,,
070001,2003-03-31,4.8,1_lt6m,-0.013715698970543255,0.010155350045346179,0.04053377303490957,,
080001,2003-03-31,6.4,2_6to12m,0.006665576154901931,0.01482268701636591,0.05044755506415788,,
090001,2003-03-31,4.6,1_lt6m,0.01746436913181726,0.008535025834457866,0.026047735697880103,,
161601,2003-03-31,6.5,2_6to12m,-0.0017846531959624379,0.022110488468520817,0.059507172811719355,0.042553095703594446,
180001,2003-03-31,4.5,1_lt6m,-0.015961983720328976,0.01321822784931559,0.01837961713791425,,
202001,2003-03-31,18.0,3_12to36m,0.03493625519274257,0.017242651188681846,0.049348833210938636,-0.027357337535421467,-0.02189882652641817
020001,2003-04-30,11.7,2_6to12m,0.02210742545441091,0.016044569947637477,0.038251060333200027,-0.014522462616864518,
050001,2003-04-30,6.7,2_6to12m,0.0322248380160437,0.07971071730858759,0.1663436690686071,0.19200232190906208,
070001,2003-04-30,5.8,1_lt6m,0.03323924657094657,0.014058593560480448,0.04911281080299723,,
080001,2003-04-30,7.4,2_6to12m,0.0006660788487193869,0.036858289266670896,0.06980150224901882,0.08362530292260928,
090001,2003-04-30,5.6,1_lt6m,-0.02955539664137219,0.06913773272301427,0.09606903501713648,,
161601,2003-04-30,7.5,2_6to12m,-0.011990882921565693,0.02915657554288198,0.07478471437667555,0.0771428917772361,
180001,2003-04-30,5.5,1_lt6m,-0.01625130824045573,0.054778926911052794,0.07371768009457935,,
202001,2003-04-30,19.0,3_12to36m,0.027672981863576807,0.043841597534650445,0.08818107174813083,0.048711621809919725,0.012946644297940013
020001,2003-05-30,12.7,3_12to36m,0.026778980494449822,0.013572439395387992,0.0542915368549417,0.052004196227658506,
050001,2003-05-30,7.7,2_6to12m,0.00879872489926603,0.05550856243181679,0.20484676474287444,0.25058485493529425,
070001,2003-05-30,6.8,2_6to12m,0.03941362992115982,0.016238514130962445,0.06542616108344457,,
080001,2003-05-30,8.3,2_6to12m,-0.004040348132167471,0.02441261949759288,0.08436878550328886,0.10923292596877032,
090001,2003-05-30,6.6,2_6to12m,-0.03230391921739573,0.043304446631927895,0.11940808137266146,0.13564080894072372,
161601,2003-05-30,8.5,2_6to12m,-0.018622966674287866,0.024288872306306386,0.09337398528290053,0.10951889719695695,
180001,2003-05-30,6.5,2_6to12m,-0.028624806870025887,0.034151648887017716,0.12182705666245885,0.12609078519599937,
202001,2003-05-30,20.0,3_12to36m,0.02160399552248471,0.038174025650022925,0.11092076640985193,0.11092340104364462,0.04827718635210143
020001,2003-06-30,13.7,3_12to36m,0.15767201806214715,-0.04634523639796084,0.0054295405836315425,0.030031722860116128,-0.07399892648752227
050001,2003-06-30,8.7,2_6to12m,0.11858012598476964,-0.04864009207473796,0.10682602557788301,0.1981347621018026,
070001,2003-06-30,7.8,2_6to12m,0.11817643251945675,-0.020717268851282222,0.034445415781765965,0.07036811243521224,
080001,2003-06-30,9.4,2_6to12m,0.07811383736722677,-0.033045665143082714,0.04346942954890043,0.08228951081268798,
090001,2003-06-30,7.6,2_6to12m,0.09362956273296374,-0.04687003091734887,0.0692585063801816,0.08263007493054775,
161601,2003-06-30,9.5,2_6to12m,0.09768327455961501,-0.0407005964697974,0.032238420293748904,0.08296136958932587,
180001,2003-06-30,7.5,2_6to12m,0.11856435581121594,-0.07204971644858882,0.039343969474009866,0.04443396288900914,
202001,2003-06-30,21.0,3_12to36m,0.12085829144285087,-0.02764767998933626,0.0652102610820704,0.10967796489235093,0.0251907919675205
020001,2003-07-31,14.8,3_12to36m,0.20044116087066222,0.01597446990731255,0.02470460635190297,0.024704032779357732,-0.06470509676572733
050001,2003-07-31,9.7,2_6to12m,0.15515014817159578,0.021277042113593048,0.09788854613549702,0.20939646464087036,
070001,2003-07-31,8.8,2_6to12m,0.17213039411473896,0.005489712252795487,0.03906626849293682,0.05114613483892638,
080001,2003-07-31,10.4,2_6to12m,0.08901068895468356,0.020771024581116126,0.05905036260219165,0.0810336369442397,
090001,2003-07-31,8.6,2_6to12m,0.14559660763103643,0.016432359051516743,0.05112020427588848,0.08946955615543772,
161601,2003-07-31,10.5,2_6to12m,0.14610996965956158,0.020800699419693647,0.033754814649655795,0.07829426598758271,
162201,2003-07-31,3.2,1_lt6m,0.1550532766711259,0.00854781750944933,,,
180001,2003-07-31,8.5,2_6to12m,0.17828891574734707,-0.012345958637918208,0.024667677836576862,0.053738460395402976,
202001,2003-07-31,22.0,3_12to36m,0.14995512115930665,0.020213341028600285,0.08045707045458217,0.10936749332553597,0.021916992012064096
217001,2003-07-31,3.1,1_lt6m,0.1572726197320684,0.027759587677152364,,,
217002,2003-07-31,3.1,1_lt6m,0.10333944647504612,0.0182961125972243,,,
020001,2003-08-29,15.7,3_12to36m,0.2642981752514775,-0.02410857408700129,-0.03323091948321877,-0.003211308907296928,-0.07455088432515966
050001,2003-08-29,10.6,2_6to12m,0.2343694208574838,-0.030912672528250362,-0.030911937119126542,0.14298745763110876,
