rank,fund_code,fund_name,score,age_months,age_group,coverage,as_of
1,005844,东方人工智能主题混合A,1.357544693453538,99.3,full,1.0,2026-09-15
2,013840,银华集成电路混合A,1.2972697808366913,57.2,full,1.0,2026-09-15
3,011369,华商均衡成长混合A,1.2201411479713622,65.2,full,1.0,2026-09-15
4,001184,易方达新常态混合A,0.9899793264554841,136.5,full,1.0,2026-09-15
5,001170,宏利复兴混合A,0.9490442446859111,136.8,full,1.0,2026-09-15
6,630001,华商领先企业混合,0.9473613502285969,232.0,full,1.0,2026-09-15
7,001741,广发百发大数据精选混合A,0.9464740756485719,132.0,full,1.0,2026-09-15
8,007639,汇添富竞争优势灵活配置混合,0.9108986881843113,84.4,full,1.0,2026-09-15
9,011891,易方达先锋成长混合A,0.8832589296624775,59.7,full,1.0,2026-09-15
10,162201,宏利成长混合,0.8776902095569104,280.7,full,1.0,2026-09-15
11,002125,广发新兴成长混合A,0.8480299071500423,108.0,full,1.0,2026-09-15
12,006976,鹏华核心优势混合A,0.8307007937817743,89.4,full,1.0,2026-09-15
13,001753,红土创新新兴产业混合A,0.8294336338667305,131.7,full,1.0,2026-09-15
14,016500,华夏半导体龙头混合发起A,0.8275888174256238,47.9,full,1.0,2026-09-15
15,010415,华泰柏瑞质量精选混合A,0.8173253136138954,65.5,full,1.0,2026-09-15
16,501026,财通多策略福享混合(LOF)A,0.813419006906263,119.9,full,1.0,2026-09-15
17,010335,华宝竞争优势混合A,0.7851432786438624,69.2,full,1.0,2026-09-15
18,000390,华商优势行业混合A,0.7810745470387739,153.1,full,1.0,2026-09-15
19,016370,信澳业绩驱动混合A,0.769566211130583,48.7,full,1.0,2026-09-15
20,005875,易方达中盘成长混合,0.7462623641190054,98.4,full,1.0,2026-09-15
21,001154,华银平安中国主题灵活配置,0.7453798460044925,136.4,full,1.0,2026-09-15
22,018776,金信精选成长混合A,0.7252731303650015,36.0,full,1.0,2026-09-15
23,000742,国泰新经济灵活配置混合A,0.7202270716632013,144.0,full,1.0,2026-09-15
24,007872,金信稳健策略混合A,0.7149085559105333,81.1,full,1.0,2026-09-15
25,010912,国泰成长价值混合A,0.7062908826056125,65.8,full,1.0,2026-09-15
26,001060,前海开源高端装备制造混合A,0.7008237360724787,137.7,full,1.0,2026-09-15
27,017102,大摩数字经济混合A,0.7003374013344257,42.5,full,1.0,2026-09-15
28,009855,中加新兴成长混合A,0.6899091188339059,71.9,full,1.0,2026-09-15
29,009993,嘉实前沿创新混合,0.6845951518665254,72.0,full,1.0,2026-09-15
30,009085,银华丰享一年持有期混合,0.6752270989122606,76.5,full,1.0,2026-09-15
31,519158,新华趋势领航混合,0.6717757858880555,156.1,full,1.0,2026-09-15
32,010363,信澳匠心臻选两年持有期混合,0.6458125940824462,70.5,full,1.0,2026-09-15
33,000805,中银新经济灵活配置混合A,0.6455413857116263,143.5,full,1.0,2026-09-15
34,012456,鹏扬数字经济先锋混合A,0.6257299230372233,60.3,full,1.0,2026-09-15
35,501200,民生加银科技创新混合(LOF),0.6154582552234937,76.0,full,1.0,2026-09-15
36,009049,易方达高端制造混合发起式A,0.6114504471808209,78.0,full,1.0,2026-09-15
37,011899,长安鑫瑞科技6个月定开混合A,0.609124977790658,63.4,full,1.0,2026-09-15
38,013238,财通均衡优选一年持有混合A,0.6017794347750915,57.7,full,1.0,2026-09-15
39,001470,融通通鑫灵活配置混合A,0.5948114079023954,135.0,full,1.0,2026-09-15
40,001607,英大策略优选A,0.5939558032387995,129.4,full,1.0,2026-09-15
41,006025,诺安优化配置混合A,0.5885306440101379,95.8,full,1.0,2026-09-15
42,015967,永赢半导体产业智选混合发起A,0.5793415890657683,47.8,full,1.0,2026-09-15
43,017876,汇添富新能源精选混合发起式A,0.5718817528368776,42.0,full,1.0,2026-09-15
44,570008,诺德周期策略混合,0.568641689909656,173.8,full,1.0,2026-09-15
45,501079,大成科创主题混合(LOF)A,0.5659765556693879,85.9,full,1.0,2026-09-15
46,740001,长安宏观策略混合A,0.5573063099556457,174.2,full,1.0,2026-09-15
47,014007,华安制造升级一年持有混合A,0.5572379858480918,56.9,full,1.0,2026-09-15
48,010371,大成成长进取混合A,0.5467403464110365,69.5,full,1.0,2026-09-15
49,010020,华夏线上经济主题精选混合,0.5459915716785446,72.6,full,1.0,2026-09-15
50,011665,汇添富数字经济引领发展三年持有混合A,0.5352838643248272,61.9,full,1.0,2026-09-15
51,959991,兴证资管金麒麟领先优势一年持有期混合A,0.5302121193731282,76.1,full,1.0,2026-09-15
52,001412,德邦鑫星价值灵活配置混合A,0.5288606671401048,134.9,full,1.0,2026-09-15
53,013085,申万菱信乐同混合A,0.5157010286651824,60.3,full,1.0,2026-09-15
54,018000,鹏华芯片产业混合发起式A,0.5148012192879483,39.7,full,1.0,2026-09-15
55,016623,银华卓信成长精选混合A,0.5143743350477537,46.4,full,1.0,2026-09-15
56,018325,国泰海通创新成长混合发起A,0.5121711252526073,40.0,full,1.0,2026-09-15
57,002272,新华科技创新主题灵活配置混合A,0.5113099747137222,125.8,full,1.0,2026-09-15
58,001387,国联新经济混合A,0.5076631922152264,129.9,full,1.0,2026-09-15
59,015229,华夏低碳经济一年持有混合A,0.5032123213706559,50.6,full,1.0,2026-09-15
60,010198,易方达竞争优势企业混合A,0.5008784950571743,67.8,full,1.0,2026-09-15
61,050022,博时回报混合,0.49079016291758326,178.2,full,1.0,2026-09-15
62,001239,长盛国企改革混合,0.4902355244893155,135.4,full,1.0,2026-09-15
63,610006,信澳产业升级混合A,0.48274877300010344,183.1,full,1.0,2026-09-15
64,014189,南方专精特新混合A,0.4820094700762154,56.3,full,1.0,2026-09-15
65,501015,财通多策略升级混合(LOF)A,0.47787630058973907,126.2,full,1.0,2026-09-15
66,008635,华安科技创新混合A,0.46917231417074867,78.3,full,1.0,2026-09-15
67,001018,易方达新经济混合,0.4689831725288236,139.1,full,1.0,2026-09-15
68,018019,南方核心科技一年持有混合A,0.4644457049653421,38.2,full,1.0,2026-09-15
69,160215,国泰价值经典混合(LOF),0.4611311421259021,193.1,full,1.0,2026-09-15
70,013147,汇添富碳中和主题混合A,0.4597366284703326,60.0,full,1.0,2026-09-15
71,008082,国寿安保研究精选混合A,0.4420443389816151,80.5,full,1.0,2026-09-15
72,009217,博时荣丰回报灵活配置混合A,0.4389851859362499,76.3,full,1.0,2026-09-15
73,012082,博时数字经济混合A,0.4374650252466481,62.9,full,1.0,2026-09-15
74,008507,交银内核驱动混合,0.43366542079293136,80.1,full,1.0,2026-09-15
75,018876,兴合先进制造混合发起式A,0.4297159302094631,37.3,full,1.0,2026-09-15
76,002152,华宝核心优势混合A,0.4266019898058593,127.8,full,1.0,2026-09-15
77,014036,博时成长回报混合A,0.4265106662421141,57.4,full,1.0,2026-09-15
78,001816,汇添富新睿精选混合A,0.4258580676940751,116.8,full,1.0,2026-09-15
79,017794,交银启盛混合A,0.4243575421485657,41.6,full,1.0,2026-09-15
80,018790,华泰柏瑞均衡成长混合A,0.42190840110800076,36.8,full,1.0,2026-09-15
81,009023,鹏华稳健回报混合A,0.41976578074610815,77.6,full,1.0,2026-09-15
82,005967,鹏华创新驱动混合A,0.4193108391763538,99.3,full,1.0,2026-09-15
83,012846,恒越蓝筹精选混合,0.41416039288699547,60.9,full,1.0,2026-09-15
84,009715,汇添富策略增长灵活配置混合,0.41301678094500005,73.7,full,1.0,2026-09-15
85,009644,东方阿尔法优势产业混合A,0.4081114558558998,74.6,full,1.0,2026-09-15
86,008633,万家科技创新混合A,0.40542776282230797,80.3,full,1.0,2026-09-15
87,009929,南方创新驱动混合A,0.40431027040297796,72.6,full,1.0,2026-09-15
88,012200,新华鑫科技3个月滚动持有灵活配置混合A,0.40423143484588486,63.7,full,1.0,2026-09-15
89,000522,华润元大信息传媒科技混合A,0.4035598853994178,149.5,full,1.0,2026-09-15
90,009892,富国成长策略混合A,0.4033395658768213,73.1,full,1.0,2026-09-15
91,519185,万家精选混合A,0.40285109886838155,207.9,full,1.0,2026-09-15
92,015527,弘毅远方汽车产业升级混合A,0.4011671094763767,45.0,full,1.0,2026-09-15
93,005914,景顺长城智能生活混合A,0.40034605067425866,91.5,full,1.0,2026-09-15
94,001279,中海积极增利混合,0.3999530688296009,135.9,full,1.0,2026-09-15
95,001822,华商智能生活灵活配置混合A,0.39872719363726516,130.1,full,1.0,2026-09-15
96,360016,光大保德信行业轮动混合A,0.3971548665965865,175.0,full,1.0,2026-09-15
97,009913,中信保诚成长动力混合A,0.39664213967759787,72.2,full,1.0,2026-09-15
98,015096,东财数字经济混合A,0.3922627005249324,54.5,full,1.0,2026-09-15
99,004833,先锋聚利混合A,0.39130542427634096,100.2,full,1.0,2026-09-15
100,007340,南方科技创新混合A,0.38892498018599575,88.3,full,1.0,2026-09-15
101,011500,九泰量化新兴产业,0.3836402584892469,64.6,full,1.0,2026-09-15
102,519091,新华泛资源优势混合,0.38288934662273366,206.1,full,1.0,2026-09-15
103,100039,富国通胀通缩主题轮动混合A,0.3824764745574798,196.1,full,1.0,2026-09-15
104,160605,鹏华中国50混合,0.3795245494776951,268.1,full,1.0,2026-09-15
105,002292,诺安益鑫灵活配置混合A,0.37876094571147667,127.8,full,1.0,2026-09-15
106,007346,易方达科技创新混合A,0.3783979696070523,88.6,full,1.0,2026-09-15
107,320007,诺安成长混合A,0.3768082299856368,210.2,full,1.0,2026-09-15
108,009511,信澳研究优选混合A,0.3764875170358748,74.8,full,1.0,2026-09-15
109,014254,信澳智远三年持有期混合A,0.37534094162907694,55.7,full,1.0,2026-09-15
110,010155,长盛核心成长混合A,0.37470379626671857,71.7,full,1.0,2026-09-15
111,006128,银河和美生活混合A,0.3725134713476277,93.8,full,1.0,2026-09-15
112,009394,银华同力精选混合,0.3633748319538108,75.0,full,1.0,2026-09-15
113,008251,汇安宜创量化精选混合A,0.3612446017141435,80.7,full,1.0,2026-09-15
