rank,rank_lowconf,fund_code,fund_name,score,signal,confidence,age_months,age_group,coverage,as_of
1.0,,004320,前海开源沪港深乐享生活,1.945180246855562,ret_12m,main,112.2,full,1.0,2026-09-18
2.0,,002910,易方达供给改革混合,1.9313143060794444,ret_12m,main,115.7,full,1.0,2026-09-18
3.0,,005844,东方人工智能主题混合A,1.854197984398159,ret_12m,main,99.4,full,1.0,2026-09-18
4.0,,013840,银华集成电路混合A,1.8433708688549442,ret_12m,main,57.3,full,1.0,2026-09-18
5.0,,021179,易方达产业机遇混合A,1.8125423659836088,ret_12m,main,24.7,short,1.0,2026-09-18
6.0,,011369,华商均衡成长混合A,1.6492394303048221,ret_12m,main,65.3,full,1.0,2026-09-18
7.0,,005825,申万菱信智能驱动股票A,1.6335851666945636,ret_12m,main,99.2,full,1.0,2026-09-18
8.0,,001480,财通成长优选混合A,1.6307396585652683,ret_12m,main,134.7,full,1.0,2026-09-18
9.0,,481015,工银主题策略混合A,1.6290936869317063,ret_12m,main,178.8,full,1.0,2026-09-18
10.0,,005119,银华智荟内在价值灵活配置混合发起A,1.6064860051546392,ret_12m,main,107.7,full,1.0,2026-09-18
11.0,,007490,南方信息创新混合A,1.5847624081046563,ret_12m,main,87.0,full,1.0,2026-09-18
12.0,,006502,财通集成电路产业股票A,1.5767623647822484,ret_12m,main,93.6,full,1.0,2026-09-18
13.0,,001198,东方惠新灵活配置混合A,1.531855799446849,ret_12m,main,136.9,full,1.0,2026-09-18
14.0,,018358,华富数字经济混合A,1.5192449929304956,ret_12m,main,39.0,full,1.0,2026-09-18
15.0,,162214,宏利领先中小盘混合,1.4960237616192322,ret_12m,main,187.7,full,1.0,2026-09-18
16.0,,720001,财通价值动量混合A,1.4817475743642237,ret_12m,main,177.6,full,1.0,2026-09-18
17.0,,001411,诺安创新驱动混合A,1.4664458455281233,ret_12m,main,135.0,full,1.0,2026-09-18
18.0,,014736,创金合信专精特新股票发起A,1.4310377111126846,ret_12m,main,55.7,full,1.0,2026-09-18
19.0,,110005,易方达积极成长混合,1.3907369853629077,ret_12m,main,264.3,full,1.0,2026-09-18
20.0,,005628,汇安趋势动力股票A,1.373237653067929,ret_12m,main,100.8,full,1.0,2026-09-18
21.0,,001170,宏利复兴混合A,1.3440268774578863,ret_12m,main,136.9,full,1.0,2026-09-18
22.0,,001184,易方达新常态混合A,1.334476081597967,ret_12m,main,136.6,full,1.0,2026-09-18
23.0,,013107,华夏先进制造龙头混合A,1.323598944325326,ret_12m,main,58.1,full,1.0,2026-09-18
24.0,,002289,华商改革创新股票A,1.3224411364426807,ret_12m,main,102.6,full,1.0,2026-09-18
25.0,,008528,华泰柏瑞质量成长A,1.28800489948329,ret_12m,main,78.0,full,1.0,2026-09-18
26.0,,001437,易方达瑞享混合I,1.2868451379878079,ret_12m,main,134.8,full,1.0,2026-09-18
27.0,,002125,广发新兴成长混合A,1.286418958341688,ret_12m,main,108.1,full,1.0,2026-09-18
28.0,,011891,易方达先锋成长混合A,1.2791870544587804,ret_12m,main,59.8,full,1.0,2026-09-18
29.0,,005903,宏利绩优混合A,1.278520907525154,ret_12m,main,99.2,full,1.0,2026-09-18
30.0,,021626,华富半导体产业混合发起式A,1.2654422574728645,ret_12m,main,21.8,short,1.0,2026-09-18
31.0,,630001,华商领先企业混合,1.2636374347900858,ret_12m,main,232.1,full,1.0,2026-09-18
32.0,,016500,华夏半导体龙头混合发起A,1.2599712354225656,ret_12m,main,48.0,full,1.0,2026-09-18
33.0,,162201,宏利成长混合,1.2545789118960515,ret_12m,main,280.8,full,1.0,2026-09-18
34.0,,010115,易方达远见成长混合A,1.2383719335227301,ret_12m,main,66.5,full,1.0,2026-09-18
35.0,,020469,长城半导体混合发起式A,1.2365774539061394,ret_12m,main,30.7,short,1.0,2026-09-18
36.0,,519770,交银优择回报灵活配置混合A,1.235385928570384,ret_12m,main,124.9,full,1.0,2026-09-18
37.0,,010415,华泰柏瑞质量精选混合A,1.2308269041109798,ret_12m,main,65.6,full,1.0,2026-09-18
38.0,,001753,红土创新新兴产业混合A,1.2157932799298523,ret_12m,main,131.8,full,1.0,2026-09-18
39.0,,016370,信澳业绩驱动混合A,1.2026162649621162,ret_12m,main,48.8,full,1.0,2026-09-18
40.0,,540010,汇丰晋信科技先锋股票,1.200136433989063,ret_12m,main,181.7,full,1.0,2026-09-18
41.0,,519773,交银数据产业灵活配置混合A,1.1969882337426627,ret_12m,main,121.1,full,1.0,2026-09-18
42.0,,010335,华宝竞争优势混合A,1.1931113005279355,ret_12m,main,69.3,full,1.0,2026-09-18
43.0,,005819,国泰优势行业混合A,1.1877816497057858,ret_12m,main,100.1,full,1.0,2026-09-18
44.0,,001723,华商新动力混合A,1.185410883646706,ret_12m,main,132.0,full,1.0,2026-09-18
45.0,,019829,华夏数字产业混合A,1.1847249778859377,ret_12m,main,29.8,short,1.0,2026-09-18
46.0,,018776,金信精选成长混合A,1.1769302131224717,ret_12m,main,36.1,full,1.0,2026-09-18
47.0,,002692,富国创新科技混合A,1.1756482546562133,ret_12m,main,123.1,full,1.0,2026-09-18
48.0,,000742,国泰新经济灵活配置混合A,1.1689683339459531,ret_12m,main,144.1,full,1.0,2026-09-18
49.0,,001741,广发百发大数据精选混合A,1.1587962454007434,ret_12m,main,132.1,full,1.0,2026-09-18
50.0,,007872,金信稳健策略混合A,1.1573029681483482,ret_12m,main,81.2,full,1.0,2026-09-18
