t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2006-03-31,dev,ret_12m,all,30,-0.04293659621802002,322,2006-03-15
2006-03-31,dev,ret_12m,short,22,0.20948616600790515,322,2006-03-15
2006-03-31,dev,ret_12m,full,8,-0.5476190476190477,322,2006-03-15
2006-03-31,dev,ret_12m,under12,0,,322,2006-03-15
2006-03-31,dev,sharpe_12m,all,30,-0.03982202447163515,322,2006-03-15
2006-03-31,dev,sharpe_12m,short,22,0.16883116883116886,322,2006-03-15
2006-03-31,dev,sharpe_12m,full,8,-0.5476190476190477,322,2006-03-15
2006-03-31,dev,sharpe_12m,under12,0,,322,2006-03-15
2006-04-28,dev,ret_12m,all,31,-0.16129032258064518,349,2006-04-14
2006-04-28,dev,ret_12m,short,20,-0.048120300751879695,349,2006-04-14
2006-04-28,dev,ret_12m,full,11,-0.43636363636363645,349,2006-04-14
2006-04-28,dev,ret_12m,under12,0,,349,2006-04-14
2006-04-28,dev,sharpe_12m,all,32,-0.1539589442815249,349,2006-04-14
2006-04-28,dev,sharpe_12m,short,21,-0.00909090909090909,349,2006-04-14
2006-04-28,dev,sharpe_12m,full,11,-0.6181818181818182,349,2006-04-14
2006-04-28,dev,sharpe_12m,under12,0,,349,2006-04-14
2006-05-31,dev,ret_12m,all,32,0.11950146627565982,376,2006-05-15
2006-05-31,dev,ret_12m,short,21,0.22337662337662337,376,2006-05-15
2006-05-31,dev,ret_12m,full,11,0.08181818181818183,376,2006-05-15
2006-05-31,dev,ret_12m,under12,0,,376,2006-05-15
2006-05-31,dev,sharpe_12m,all,32,0.09604105571847506,376,2006-05-15
2006-05-31,dev,sharpe_12m,short,21,0.2558441558441559,376,2006-05-15
2006-05-31,dev,sharpe_12m,full,11,-0.13636363636363638,376,2006-05-15
2006-05-31,dev,sharpe_12m,under12,0,,376,2006-05-15
2006-06-30,dev,ret_12m,all,32,0.08321114369501466,403,2006-06-14
2006-06-30,dev,ret_12m,short,21,0.09480519480519481,403,2006-06-14
2006-06-30,dev,ret_12m,full,11,-0.1272727272727273,403,2006-06-14
2006-06-30,dev,ret_12m,under12,0,,403,2006-06-14
2006-06-30,dev,sharpe_12m,all,32,-0.026759530791788853,403,2006-06-14
2006-06-30,dev,sharpe_12m,short,21,-0.03506493506493507,403,2006-06-14
2006-06-30,dev,sharpe_12m,full,11,-0.33636363636363636,403,2006-06-14
2006-06-30,dev,sharpe_12m,under12,0,,403,2006-06-14
2006-07-31,dev,ret_12m,all,32,0.29802052785923755,431,2006-07-14
