t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2005-06-30,dev,ret_12m,all,47,-0.20432469935245143,306,2005-06-13
2005-06-30,dev,ret_12m,short,42,-0.24333522404991495,306,2005-06-13
2005-06-30,dev,ret_12m,full,5,0.6,306,2005-06-13
2005-06-30,dev,ret_12m,under12,0,,306,2005-06-13
2005-06-30,dev,sharpe_12m,all,53,-0.17190775681341716,306,2005-06-13
2005-06-30,dev,sharpe_12m,short,48,-0.21396005210594876,306,2005-06-13
2005-06-30,dev,sharpe_12m,full,5,0.6,306,2005-06-13
2005-06-30,dev,sharpe_12m,under12,0,,306,2005-06-13
2005-07-29,dev,ret_12m,all,56,-0.32406015037593994,342,2005-07-14
2005-07-29,dev,ret_12m,short,51,-0.36235294117647054,342,2005-07-14
2005-07-29,dev,ret_12m,full,5,0.49999999999999994,342,2005-07-14
2005-07-29,dev,ret_12m,under12,0,,342,2005-07-14
2005-07-29,dev,sharpe_12m,all,58,-0.27343197268448743,342,2005-07-14
2005-07-29,dev,sharpe_12m,short,53,-0.31833575229801647,342,2005-07-14
2005-07-29,dev,sharpe_12m,full,5,0.7,342,2005-07-14
2005-07-29,dev,sharpe_12m,under12,0,,342,2005-07-14
2005-08-31,dev,ret_12m,all,59,0.002980713033313852,378,2005-08-11
2005-08-31,dev,ret_12m,short,52,-0.006915393152907025,378,2005-08-11
2005-08-31,dev,ret_12m,full,7,-0.03571428571428572,378,2005-08-11
2005-08-31,dev,ret_12m,under12,0,,378,2005-08-11
2005-08-31,dev,sharpe_12m,all,62,0.02198383319483267,378,2005-08-11
2005-08-31,dev,sharpe_12m,short,55,0.00028860028860028865,378,2005-08-11
2005-08-31,dev,sharpe_12m,full,7,0.10714285714285716,378,2005-08-11
2005-08-31,dev,sharpe_12m,under12,0,,378,2005-08-11
2005-09-30,dev,ret_12m,all,63,0.08386136712749616,414,2005-08-30
2005-09-30,dev,ret_12m,short,54,0.10234419668381932,414,2005-08-30
2005-09-30,dev,ret_12m,full,9,0.03333333333333333,414,2005-08-30
2005-09-30,dev,ret_12m,under12,0,,414,2005-08-30
2005-09-30,dev,sharpe_12m,all,67,0.1007263149493176,414,2005-08-30
2005-09-30,dev,sharpe_12m,short,58,0.10424805438493957,414,2005-08-30
2005-09-30,dev,sharpe_12m,full,9,0.03333333333333333,414,2005-08-30
2005-09-30,dev,sharpe_12m,under12,0,,414,2005-08-30
2005-10-31,dev,ret_12m,all,67,0.12103918908133134,451,2005-09-30
2005-10-31,dev,ret_12m,short,56,0.18229665071770337,451,2005-09-30
2005-10-31,dev,ret_12m,full,11,-0.23636363636363636,451,2005-09-30
2005-10-31,dev,ret_12m,under12,0,,451,2005-09-30
2005-10-31,dev,sharpe_12m,all,67,0.1295394684332349,451,2005-09-30
2005-10-31,dev,sharpe_12m,short,56,0.1817498291182502,451,2005-09-30
2005-10-31,dev,sharpe_12m,full,11,-0.28181818181818186,451,2005-09-30
2005-10-31,dev,sharpe_12m,under12,0,,451,2005-09-30
2005-11-30,dev,ret_12m,all,67,0.1111421502115093,489,2005-11-07
2005-11-30,dev,ret_12m,short,53,0.12820512820512822,489,2005-11-07
2005-11-30,dev,ret_12m,full,14,0.07692307692307693,489,2005-11-07
2005-11-30,dev,ret_12m,under12,0,,489,2005-11-07
2005-11-30,dev,sharpe_12m,all,67,0.17503392130257803,489,2005-11-07
2005-11-30,dev,sharpe_12m,short,53,0.20827285921625543,489,2005-11-07
2005-11-30,dev,sharpe_12m,full,14,0.06373626373626373,489,2005-11-07
2005-11-30,dev,sharpe_12m,under12,0,,489,2005-11-07
2005-12-30,dev,ret_12m,all,70,0.04704750240573878,532,2005-11-30
2005-12-30,dev,ret_12m,short,56,0.09268626110731375,532,2005-11-30
2005-12-30,dev,ret_12m,full,14,-0.12087912087912088,532,2005-11-30
2005-12-30,dev,ret_12m,under12,0,,532,2005-11-30
2005-12-30,dev,sharpe_12m,all,70,-0.011705012684804478,532,2005-11-30
2005-12-30,dev,sharpe_12m,short,56,0.018865345181134655,532,2005-11-30
2005-12-30,dev,sharpe_12m,full,14,-0.0945054945054945,532,2005-11-30
2005-12-30,dev,sharpe_12m,under12,0,,532,2005-11-30
2006-01-25,dev,ret_12m,all,70,0.1775347738605546,585,2005-12-30
2006-01-25,dev,ret_12m,short,56,0.25010252904989755,585,2005-12-30
2006-01-25,dev,ret_12m,full,14,-0.18681318681318684,585,2005-12-30
2006-01-25,dev,ret_12m,under12,0,,585,2005-12-30
2006-01-25,dev,sharpe_12m,all,73,0.03921387140565224,585,2005-12-30
2006-01-25,dev,sharpe_12m,short,59,0.06627703097603742,585,2005-12-30
2006-01-25,dev,sharpe_12m,full,14,-0.14285714285714285,585,2005-12-30
2006-01-25,dev,sharpe_12m,under12,0,,585,2005-12-30
2006-02-28,dev,ret_12m,all,73,0.18724546464272493,643,2006-02-10
2006-02-28,dev,ret_12m,short,59,0.2557568673290474,643,2006-02-10
2006-02-28,dev,ret_12m,full,14,-0.09010989010989012,643,2006-02-10
2006-02-28,dev,ret_12m,under12,0,,643,2006-02-10
2006-02-28,dev,sharpe_12m,all,75,-0.01957325746799431,643,2006-02-10
2006-02-28,dev,sharpe_12m,short,61,0.011739820200951875,643,2006-02-10
2006-02-28,dev,sharpe_12m,full,14,-0.1076923076923077,643,2006-02-10
2006-02-28,dev,sharpe_12m,under12,0,,643,2006-02-10
2006-03-31,dev,ret_12m,all,76,0.2119207108680793,705,2006-03-15
2006-03-31,dev,ret_12m,short,62,0.3299085895595679,705,2006-03-15
2006-03-31,dev,ret_12m,full,14,-0.2571428571428571,705,2006-03-15
2006-03-31,dev,ret_12m,under12,0,,705,2006-03-15
2006-03-31,dev,sharpe_12m,all,78,-0.019815627410564116,705,2006-03-15
2006-03-31,dev,sharpe_12m,short,64,0.0467032967032967,705,2006-03-15
2006-03-31,dev,sharpe_12m,full,14,-0.24395604395604395,705,2006-03-15
2006-03-31,dev,sharpe_12m,under12,0,,705,2006-03-15
2006-04-28,dev,ret_12m,all,80,0.06455696202531645,772,2006-04-14
2006-04-28,dev,ret_12m,short,60,0.061294804112253416,772,2006-04-14
2006-04-28,dev,ret_12m,full,20,-0.012030075187969924,772,2006-04-14
2006-04-28,dev,ret_12m,under12,0,,772,2006-04-14
2006-04-28,dev,sharpe_12m,all,81,-0.2052393857271906,772,2006-04-14
2006-04-28,dev,sharpe_12m,short,61,-0.18408249603384452,772,2006-04-14
2006-04-28,dev,sharpe_12m,full,20,-0.41353383458646614,772,2006-04-14
2006-04-28,dev,sharpe_12m,under12,0,,772,2006-04-14
2006-05-31,dev,ret_12m,all,82,0.23938572719060522,839,2006-05-15
2006-05-31,dev,ret_12m,short,62,0.236886504998615,839,2006-05-15
2006-05-31,dev,ret_12m,full,20,0.2827067669172932,839,2006-05-15
2006-05-31,dev,ret_12m,under12,0,,839,2006-05-15
2006-05-31,dev,sharpe_12m,all,82,-0.08938735973705118,839,2006-05-15
2006-05-31,dev,sharpe_12m,short,62,-0.06061292840774597,839,2006-05-15
2006-05-31,dev,sharpe_12m,full,20,-0.2646616541353383,839,2006-05-15
2006-05-31,dev,sharpe_12m,under12,0,,839,2006-05-15
2006-06-30,dev,ret_12m,all,82,0.255319380503042,906,2006-06-14
2006-06-30,dev,ret_12m,short,62,0.21548185641258089,906,2006-06-14
2006-06-30,dev,ret_12m,full,20,0.3293233082706767,906,2006-06-14
2006-06-30,dev,ret_12m,under12,0,,906,2006-06-14
2006-06-30,dev,sharpe_12m,all,84,-0.0035030879821808247,906,2006-06-14
2006-06-30,dev,sharpe_12m,short,64,-0.0063644688644688635,906,2006-06-14
2006-06-30,dev,sharpe_12m,full,20,-0.09172932330827067,906,2006-06-14
2006-06-30,dev,sharpe_12m,under12,0,,906,2006-06-14
2006-07-31,dev,ret_12m,all,84,0.35648476257973066,976,2006-07-14
2006-07-31,dev,ret_12m,short,60,0.35465407057515985,976,2006-07-14
2006-07-31,dev,ret_12m,full,24,0.2843478260869565,976,2006-07-14
2006-07-31,dev,ret_12m,under12,0,,976,2006-07-14
2006-07-31,dev,sharpe_12m,all,86,-0.052238313127977734,976,2006-07-14
2006-07-31,dev,sharpe_12m,short,62,-0.033567525370804055,976,2006-07-14
2006-07-31,dev,sharpe_12m,full,24,-0.040869565217391296,976,2006-07-14
2006-07-31,dev,sharpe_12m,under12,0,,976,2006-07-14
2006-08-31,dev,ret_12m,all,87,0.32457898957497994,1049,2006-08-07
2006-08-31,dev,ret_12m,short,59,0.2669783752191701,1049,2006-08-07
