t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2003-01-29,dev,skipped_small_train,0,0,,,1,1
2003-02-28,dev,skipped_small_train,0,0,,,1,1
2003-03-31,dev,skipped_small_train,0,0,,,1,1
2003-04-30,dev,skipped_small_train,0,0,,,1,1
2003-05-30,dev,skipped_small_train,0,0,,,1,1
2003-06-30,dev,skipped_small_train,0,0,,,2,2
2003-07-31,dev,skipped_small_train,0,0,,,2,2
2003-08-29,dev,skipped_small_train,1,1,2003-01-29,2003-08-13,2,2
2003-09-30,dev,skipped_small_train,2,1,2003-01-29,2003-09-03,3,3
2003-10-31,dev,skipped_small_train,3,1,2003-01-29,2003-10-09,5,5
2003-11-28,dev,skipped_small_train,4,1,2003-01-29,2003-11-10,7,7
2003-12-31,dev,skipped_small_train,5,1,2003-01-29,2003-12-01,8,8
2004-01-30,dev,skipped_small_train,7,2,2003-01-29,2003-12-30,8,8
2004-02-27,dev,skipped_small_train,9,2,2003-01-29,2004-02-12,8,8
2004-03-31,dev,skipped_small_train,11,2,2003-01-29,2004-03-12,8,8
2004-04-30,dev,skipped_small_train,14,3,2003-01-29,2004-04-13,8,8
2004-05-31,dev,skipped_small_train,19,5,2003-01-29,2004-05-14,10,10
2004-06-30,dev,skipped_small_train,26,7,2003-01-29,2004-06-11,11,11
2004-07-30,dev,skipped_small_train,34,8,2003-01-29,2004-07-14,13,13
2004-08-31,dev,skipped_small_train,42,8,2003-01-29,2004-08-02,13,13
2004-09-30,dev,skipped_small_train,50,8,2003-01-29,2004-08-30,13,13
2004-10-29,dev,skipped_small_train,58,8,2003-01-29,2004-09-30,14,14
2004-11-30,dev,skipped_small_train,66,8,2003-01-29,2004-11-08,14,14
2004-12-31,dev,skipped_small_train,76,10,2003-01-29,2004-11-30,16,16
2005-01-31,dev,skipped_small_train,87,11,2003-01-29,2004-12-30,16,16
2005-02-28,dev,skipped_small_train,100,13,2003-01-29,2005-02-01,16,16
2005-03-31,dev,skipped_small_train,113,13,2003-01-29,2005-03-14,17,17
2005-04-29,dev,skipped_small_train,126,13,2003-01-29,2005-04-13,17,17
2005-05-31,dev,skipped_small_train,140,14,2003-01-29,2005-05-12,17,17
2005-06-30,dev,skipped_small_train,154,14,2003-01-29,2005-06-13,22,22
2005-07-29,dev,skipped_small_train,170,16,2003-01-29,2005-07-14,23,23
2005-08-31,dev,skipped_small_train,186,16,2003-01-29,2005-08-11,24,24
2005-09-30,dev,skipped_small_train,202,16,2003-01-29,2005-08-30,27,27
2005-10-31,dev,skipped_small_train,219,17,2003-01-29,2005-09-30,27,27
2005-11-30,dev,skipped_small_train,236,17,2003-01-29,2005-11-07,27,27
2005-12-30,dev,skipped_small_train,253,17,2003-01-29,2005-11-30,28,28
2006-01-25,dev,skipped_small_train,275,22,2003-01-29,2005-12-30,29,29
2006-02-28,dev,skipped_small_train,298,23,2003-01-29,2006-02-10,30,30
2006-03-31,dev,ok,322,24,2003-01-29,2006-03-15,30,30
2006-04-28,dev,ok,349,27,2003-01-29,2006-04-14,32,32
2006-05-31,dev,ok,376,27,2003-01-29,2006-05-15,32,32
2006-06-30,dev,ok,403,27,2003-01-29,2006-06-14,32,32
2006-07-31,dev,ok,431,28,2003-01-29,2006-07-14,34,34
2006-08-31,dev,ok,460,29,2003-01-29,2006-08-07,34,34
2006-09-29,dev,ok,490,30,2003-01-29,2006-08-30,34,34
2006-10-31,dev,ok,520,30,2003-01-29,2006-10-09,35,35
2006-11-30,dev,ok,552,32,2003-01-29,2006-11-06,35,35
2006-12-29,dev,ok,584,32,2003-01-29,2006-11-30,37,37
2007-01-31,dev,ok,616,32,2003-01-29,2007-01-04,38,38
2007-02-28,dev,ok,650,34,2003-01-29,2007-02-02,39,39
2007-03-30,dev,ok,684,34,2003-01-29,2007-03-14,39,39
2007-04-30,dev,ok,718,34,2003-01-29,2007-04-12,40,40
2007-05-31,dev,ok,753,35,2003-01-29,2007-05-14,41,41
2007-06-29,dev,ok,788,35,2003-01-29,2007-06-13,43,43
2007-07-31,dev,ok,825,37,2003-01-29,2007-07-12,46,46
2007-08-31,dev,ok,863,38,2003-01-29,2007-08-09,47,47
2007-09-28,dev,ok,902,39,2003-01-29,2007-08-30,50,50
2007-10-31,dev,ok,941,39,2003-01-29,2007-10-08,52,52
2007-11-30,dev,ok,981,40,2003-01-29,2007-11-06,55,55
2007-12-28,dev,ok,1022,41,2003-01-29,2007-11-30,56,56
2008-01-31,dev,ok,1065,43,2003-01-29,2008-01-02,56,56
2008-02-29,dev,ok,1111,46,2003-01-29,2008-02-01,56,56
2008-03-31,dev,ok,1158,47,2003-01-29,2008-03-12,60,60
2008-04-30,dev,ok,1208,50,2003-01-29,2008-04-10,61,61
2008-05-30,dev,ok,1260,52,2003-01-29,2008-05-08,63,63
2008-06-30,dev,ok,1315,55,2003-01-29,2008-06-10,63,63
2008-07-31,dev,ok,1371,56,2003-01-29,2008-07-08,66,66
2008-08-29,dev,ok,1427,56,2003-01-29,2008-08-07,68,68
2008-09-26,dev,ok,1483,56,2003-01-29,2008-08-29,70,70
2008-10-31,dev,ok,1543,60,2003-01-29,2008-10-07,70,70
2008-11-28,dev,ok,1604,61,2003-01-29,2008-11-05,72,72
2008-12-31,dev,ok,1667,63,2003-01-29,2008-12-03,73,73
2009-01-23,dev,ok,1730,63,2003-01-29,2008-12-31,73,73
2009-02-27,dev,ok,1796,66,2003-01-29,2009-02-11,73,73
2009-03-31,dev,ok,1864,68,2003-01-29,2009-03-12,73,73
2009-04-30,dev,ok,1934,70,2003-01-29,2009-04-09,75,75
2009-05-27,dev,ok,2004,70,2003-01-29,2009-05-08,75,75
2009-06-30,dev,ok,2076,72,2003-01-29,2009-06-09,80,80
2009-07-31,dev,ok,2149,73,2003-01-29,2009-07-10,82,82
2009-08-31,dev,ok,2222,73,2003-01-29,2009-07-31,83,83
2009-09-30,dev,ok,2295,73,2003-01-29,2009-08-28,85,85
2009-10-30,dev,ok,2368,73,2003-01-29,2009-09-29,87,87
2009-11-30,dev,ok,2443,75,2003-01-29,2009-11-05,88,88
2009-12-31,dev,ok,2518,75,2003-01-29,2009-12-01,89,89
2010-01-29,dev,ok,2598,80,2003-01-29,2009-12-31,91,91
2010-02-26,dev,ok,2680,82,2003-01-29,2010-02-03,91,91
2010-03-31,dev,ok,2763,83,2003-01-29,2010-03-11,91,91
2010-04-30,dev,ok,2848,85,2003-01-29,2010-04-13,96,96
2010-05-31,dev,ok,2935,87,2003-01-29,2010-05-06,97,97
2010-06-30,dev,ok,3023,88,2003-01-29,2010-06-04,97,97
2010-07-30,dev,ok,3112,89,2003-01-29,2010-07-12,98,98
2010-08-31,dev,ok,3203,91,2003-01-29,2010-08-09,101,101
2010-09-30,dev,ok,3294,91,2003-01-29,2010-08-30,101,101
2010-10-29,dev,ok,3385,91,2003-01-29,2010-10-12,103,103
2010-11-30,dev,ok,3481,96,2003-01-29,2010-11-10,105,105
2010-12-31,dev,ok,3578,97,2003-01-29,2010-12-08,112,112
2011-01-31,dev,ok,3675,97,2003-01-29,2011-01-05,113,113
2011-02-28,dev,ok,3773,98,2003-01-29,2011-02-11,114,114
2011-03-31,dev,ok,3874,101,2003-01-29,2011-03-15,115,115
2011-04-29,dev,ok,3975,101,2003-01-29,2011-04-13,116,116
2011-05-31,dev,ok,4078,103,2003-01-29,2011-05-06,117,117
2011-06-30,dev,ok,4183,105,2003-01-29,2011-06-08,120,120
2011-07-29,dev,ok,4295,112,2003-01-29,2011-07-11,124,124
2011-08-31,dev,ok,4408,113,2003-01-29,2011-08-08,124,124
2011-09-30,dev,ok,4522,114,2003-01-29,2011-08-29,126,126
2011-10-31,dev,ok,4637,115,2003-01-29,2011-09-30,126,126
2011-11-30,dev,ok,4753,116,2003-01-29,2011-11-03,126,126
2011-12-30,dev,ok,4870,117,2003-01-29,2011-12-02,127,127
2012-01-31,dev,ok,4990,120,2003-01-29,2012-01-04,129,129
2012-02-29,dev,ok,5114,124,2003-01-29,2012-02-09,134,134
2012-03-30,dev,ok,5238,124,2003-01-29,2012-03-13,135,135
2012-04-27,dev,ok,5364,126,2003-01-29,2012-04-16,138,138
2012-05-31,dev,ok,5490,126,2003-01-29,2012-05-10,140,140
2012-06-29,dev,ok,5616,126,2003-01-29,2012-06-11,145,145
2012-07-31,dev,ok,5743,127,2003-01-29,2012-07-12,147,147
2012-08-31,dev,ok,5872,129,2003-01-29,2012-08-02,148,148
2012-09-28,dev,ok,6006,134,2003-01-29,2012-08-31,151,151
2012-10-31,dev,ok,6141,135,2003-01-29,2012-10-09,153,153
2012-11-30,dev,ok,6279,138,2003-01-29,2012-11-01,161,161
2012-12-31,dev,ok,6419,140,2003-01-29,2012-12-03,163,163
2013-01-31,dev,ok,6564,145,2003-01-29,2012-12-31,164,164
2013-02-28,dev,ok,6711,147,2003-01-29,2013-02-04,166,166
2013-03-29,dev,ok,6859,148,2003-01-29,2013-03-14,170,170
2013-04-26,dev,ok,7010,151,2003-01-29,2013-04-15,174,174
2013-05-31,dev,ok,7163,153,2003-01-29,2013-05-14,174,174
2013-06-28,dev,ok,7324,161,2003-01-29,2013-06-18,175,175
2013-07-31,dev,ok,7487,163,2003-01-29,2013-07-17,178,178
2013-08-30,dev,ok,7651,164,2003-01-29,2013-08-14,181,181
2013-09-30,dev,ok,7817,166,2003-01-29,2013-09-04,184,184
2013-10-31,dev,ok,7987,170,2003-01-29,2013-10-14,186,186
2013-11-29,dev,ok,8161,174,2003-01-29,2013-11-07,186,186
2013-12-31,dev,ok,8335,174,2003-01-29,2013-12-09,187,187
2014-01-30,dev,ok,8510,175,2003-01-29,2014-01-02,188,188
2014-02-28,dev,ok,8688,178,2003-01-29,2014-02-11,190,190
2014-03-31,dev,ok,8869,181,2003-01-29,2014-03-13,191,191
2014-04-30,dev,ok,9053,184,2003-01-29,2014-04-10,191,191
2014-05-30,dev,ok,9239,186,2003-01-29,2014-05-08,194,194
2014-06-30,dev,ok,9425,186,2003-01-29,2014-06-09,199,199
2014-07-31,dev,ok,9612,187,2003-01-29,2014-07-09,204,204
2014-08-29,dev,ok,9800,188,2003-01-29,2014-08-07,205,205
2014-09-30,dev,ok,9990,190,2003-01-29,2014-08-29,210,210
2014-10-31,dev,ok,10181,191,2003-01-29,2014-09-30,210,210
2014-11-28,dev,ok,10372,191,2003-01-29,2014-11-05,213,213
2014-12-31,dev,ok,10566,194,2003-01-29,2014-12-03,216,216
2015-01-30,dev,ok,10765,199,2003-01-29,2014-12-31,219,219
2015-02-27,dev,ok,10969,204,2003-01-29,2015-02-04,221,221
