t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2003-01-29,dev,skipped_small_train,0,0,,,3,3
2003-02-28,dev,skipped_small_train,0,0,,,3,3
2003-03-31,dev,skipped_small_train,0,0,,,3,3
2003-04-30,dev,skipped_small_train,0,0,,,3,3
2003-05-30,dev,skipped_small_train,0,0,,,3,3
2003-06-30,dev,skipped_small_train,0,0,,,5,5
2003-07-31,dev,skipped_small_train,0,0,,,5,5
2003-08-29,dev,skipped_small_train,3,3,2003-01-29,2003-08-13,6,6
2003-09-30,dev,skipped_small_train,6,3,2003-01-29,2003-09-03,8,8
2003-10-31,dev,skipped_small_train,9,3,2003-01-29,2003-10-09,11,11
2003-11-28,dev,skipped_small_train,12,3,2003-01-29,2003-11-10,13,13
2003-12-31,dev,skipped_small_train,15,3,2003-01-29,2003-12-01,14,14
2004-01-30,dev,skipped_small_train,20,5,2003-01-29,2003-12-30,14,14
2004-02-27,dev,skipped_small_train,25,5,2003-01-29,2004-02-12,14,14
2004-03-31,dev,skipped_small_train,31,6,2003-01-29,2004-03-12,14,14
2004-04-30,dev,skipped_small_train,39,8,2003-01-29,2004-04-13,14,14
2004-05-31,dev,skipped_small_train,50,11,2003-01-29,2004-05-14,16,16
2004-06-30,dev,skipped_small_train,63,13,2003-01-29,2004-06-11,20,20
2004-07-30,dev,skipped_small_train,77,14,2003-01-29,2004-07-14,23,23
2004-08-31,dev,skipped_small_train,91,14,2003-01-29,2004-08-02,26,26
2004-09-30,dev,skipped_small_train,105,14,2003-01-29,2004-08-30,28,28
2004-10-29,dev,skipped_small_train,119,14,2003-01-29,2004-09-30,30,30
2004-11-30,dev,skipped_small_train,133,14,2003-01-29,2004-11-08,30,30
2004-12-31,dev,skipped_small_train,149,16,2003-01-29,2004-11-30,36,36
2005-01-31,dev,skipped_small_train,169,20,2003-01-29,2004-12-30,36,36
2005-02-28,dev,skipped_small_train,192,23,2003-01-29,2005-02-01,36,36
2005-03-31,dev,skipped_small_train,218,26,2003-01-29,2005-03-14,37,37
2005-04-29,dev,skipped_small_train,246,28,2003-01-29,2005-04-13,38,38
2005-05-31,dev,skipped_small_train,276,30,2003-01-29,2005-05-12,43,43
2005-06-30,dev,ok,306,30,2003-01-29,2005-06-13,53,53
2005-07-29,dev,ok,342,36,2003-01-29,2005-07-14,58,58
2005-08-31,dev,ok,378,36,2003-01-29,2005-08-11,62,62
2005-09-30,dev,ok,414,36,2003-01-29,2005-08-30,67,67
2005-10-31,dev,ok,451,37,2003-01-29,2005-09-30,67,67
2005-11-30,dev,ok,489,38,2003-01-29,2005-11-07,67,67
2005-12-30,dev,ok,532,43,2003-01-29,2005-11-30,70,70
2006-01-25,dev,ok,585,53,2003-01-29,2005-12-30,73,73
2006-02-28,dev,ok,643,58,2003-01-29,2006-02-10,75,75
2006-03-31,dev,ok,705,62,2003-01-29,2006-03-15,78,78
2006-04-28,dev,ok,772,67,2003-01-29,2006-04-14,81,81
2006-05-31,dev,ok,839,67,2003-01-29,2006-05-15,82,82
2006-06-30,dev,ok,906,67,2003-01-29,2006-06-14,84,84
2006-07-31,dev,ok,976,70,2003-01-29,2006-07-14,86,86
2006-08-31,dev,ok,1049,73,2003-01-29,2006-08-07,87,87
2006-09-29,dev,ok,1124,75,2003-01-29,2006-08-30,93,93
2006-10-31,dev,ok,1202,78,2003-01-29,2006-10-09,97,97
2006-11-30,dev,ok,1283,81,2003-01-29,2006-11-06,101,101
2006-12-29,dev,ok,1365,82,2003-01-29,2006-11-30,106,106
2007-01-31,dev,ok,1449,84,2003-01-29,2007-01-04,108,108
2007-02-28,dev,ok,1535,86,2003-01-29,2007-02-02,110,110
2007-03-30,dev,ok,1622,87,2003-01-29,2007-03-14,111,111
2007-04-30,dev,ok,1715,93,2003-01-29,2007-04-12,113,113
2007-05-31,dev,ok,1812,97,2003-01-29,2007-05-14,117,117
2007-06-29,dev,ok,1913,101,2003-01-29,2007-06-13,123,123
2007-07-31,dev,ok,2019,106,2003-01-29,2007-07-12,128,128
2007-08-31,dev,ok,2127,108,2003-01-29,2007-08-09,137,137
2007-09-28,dev,ok,2237,110,2003-01-29,2007-08-30,142,142
2007-10-31,dev,ok,2348,111,2003-01-29,2007-10-08,149,149
2007-11-30,dev,ok,2461,113,2003-01-29,2007-11-06,158,158
2007-12-28,dev,ok,2578,117,2003-01-29,2007-11-30,169,169
2008-01-31,dev,ok,2701,123,2003-01-29,2008-01-02,173,173
2008-02-29,dev,ok,2829,128,2003-01-29,2008-02-01,176,176
2008-03-31,dev,ok,2966,137,2003-01-29,2008-03-12,182,182
2008-04-30,dev,ok,3108,142,2003-01-29,2008-04-10,188,188
2008-05-30,dev,ok,3257,149,2003-01-29,2008-05-08,196,196
2008-06-30,dev,ok,3415,158,2003-01-29,2008-06-10,197,197
2008-07-31,dev,ok,3584,169,2003-01-29,2008-07-08,203,203
2008-08-29,dev,ok,3757,173,2003-01-29,2008-08-07,210,210
2008-09-26,dev,ok,3933,176,2003-01-29,2008-08-29,213,213
2008-10-31,dev,ok,4115,182,2003-01-29,2008-10-07,214,214
2008-11-28,dev,ok,4303,188,2003-01-29,2008-11-05,216,216
2008-12-31,dev,ok,4499,196,2003-01-29,2008-12-03,218,218
2009-01-23,dev,ok,4696,197,2003-01-29,2008-12-31,220,220
2009-02-27,dev,ok,4899,203,2003-01-29,2009-02-11,221,221
2009-03-31,dev,ok,5109,210,2003-01-29,2009-03-12,221,221
2009-04-30,dev,ok,5322,213,2003-01-29,2009-04-09,223,223
2009-05-27,dev,ok,5536,214,2003-01-29,2009-05-08,225,225
2009-06-30,dev,ok,5752,216,2003-01-29,2009-06-09,237,237
2009-07-31,dev,ok,5970,218,2003-01-29,2009-07-10,247,247
2009-08-31,dev,ok,6190,220,2003-01-29,2009-07-31,251,251
2009-09-30,dev,ok,6411,221,2003-01-29,2009-08-28,257,257
2009-10-30,dev,ok,6632,221,2003-01-29,2009-09-29,260,260
2009-11-30,dev,ok,6855,223,2003-01-29,2009-11-05,268,268
2009-12-31,dev,ok,7080,225,2003-01-29,2009-12-01,274,274
2010-01-29,dev,ok,7317,237,2003-01-29,2009-12-31,277,277
2010-02-26,dev,ok,7564,247,2003-01-29,2010-02-03,278,278
2010-03-31,dev,ok,7815,251,2003-01-29,2010-03-11,279,279
2010-04-30,dev,ok,8072,257,2003-01-29,2010-04-13,291,291
2010-05-31,dev,ok,8332,260,2003-01-29,2010-05-06,298,298
2010-06-30,dev,ok,8600,268,2003-01-29,2010-06-04,302,302
2010-07-30,dev,ok,8874,274,2003-01-29,2010-07-12,307,307
2010-08-31,dev,ok,9151,277,2003-01-29,2010-08-09,311,311
2010-09-30,dev,ok,9429,278,2003-01-29,2010-08-30,317,317
2010-10-29,dev,ok,9708,279,2003-01-29,2010-10-12,321,321
2010-11-30,dev,ok,9999,291,2003-01-29,2010-11-10,328,328
2010-12-31,dev,ok,10297,298,2003-01-29,2010-12-08,339,339
2011-01-31,dev,ok,10599,302,2003-01-29,2011-01-05,341,341
2011-02-28,dev,ok,10906,307,2003-01-29,2011-02-11,342,342
2011-03-31,dev,ok,11217,311,2003-01-29,2011-03-15,351,351
2011-04-29,dev,ok,11534,317,2003-01-29,2011-04-13,353,353
2011-05-31,dev,ok,11855,321,2003-01-29,2011-05-06,359,359
2011-06-30,dev,ok,12183,328,2003-01-29,2011-06-08,365,365
2011-07-29,dev,ok,12522,339,2003-01-29,2011-07-11,376,376
2011-08-31,dev,ok,12863,341,2003-01-29,2011-08-08,381,381
2011-09-30,dev,ok,13205,342,2003-01-29,2011-08-29,390,390
2011-10-31,dev,ok,13556,351,2003-01-29,2011-09-30,395,395
2011-11-30,dev,ok,13909,353,2003-01-29,2011-11-03,399,399
2011-12-30,dev,ok,14268,359,2003-01-29,2011-12-02,401,401
2012-01-31,dev,ok,14633,365,2003-01-29,2012-01-04,407,407
2012-02-29,dev,ok,15009,376,2003-01-29,2012-02-09,420,420
2012-03-30,dev,ok,15390,381,2003-01-29,2012-03-13,424,424
2012-04-27,dev,ok,15780,390,2003-01-29,2012-04-16,428,428
2012-05-31,dev,ok,16175,395,2003-01-29,2012-05-10,437,437
2012-06-29,dev,ok,16574,399,2003-01-29,2012-06-11,446,446
2012-07-31,dev,ok,16975,401,2003-01-29,2012-07-12,453,453
2012-08-31,dev,ok,17382,407,2003-01-29,2012-08-02,461,461
2012-09-28,dev,ok,17802,420,2003-01-29,2012-08-31,476,476
2012-10-31,dev,ok,18226,424,2003-01-29,2012-10-09,481,481
2012-11-30,dev,ok,18654,429,2003-01-29,2012-11-01,489,489
2012-12-31,dev,ok,19091,438,2003-01-29,2012-12-03,499,499
2013-01-31,dev,ok,19537,447,2003-01-29,2012-12-31,506,506
2013-02-28,dev,ok,19990,454,2003-01-29,2013-02-04,509,509
2013-03-29,dev,ok,20451,462,2003-01-29,2013-03-14,515,515
2013-04-26,dev,ok,20927,477,2003-01-29,2013-04-15,525,525
2013-05-31,dev,ok,21408,483,2003-01-29,2013-05-14,532,532
2013-06-28,dev,ok,21897,491,2003-01-29,2013-06-18,540,540
2013-07-31,dev,ok,22396,501,2003-01-29,2013-07-17,553,553
2013-08-30,dev,ok,22902,508,2003-01-29,2013-08-14,562,562
2013-09-30,dev,ok,23411,511,2003-01-29,2013-09-04,579,579
2013-10-31,dev,ok,23926,517,2003-01-29,2013-10-14,586,586
2013-11-29,dev,ok,24451,526,2003-01-29,2013-11-07,587,587
